date,hashcode,arrival time,departure time,required energy
20210101,5676425991215679769,06:00,10:00,5.76
20210101,-3946710094207837487,09:00,11:00,14.4
20210102,6987318350019114177,09:29,10:34,1.56
20210102,6987318350019114177,12:06,13:23,1.84
20210102,6987318350019114177,15:15,15:41,3.1
20210104,-5117977818912866300,05:00,07:00,14.4
20210104,-333394643682494087,06:00,09:30,25.2
20210104,-6895670320955208391,06:00,10:00,28.8
20210104,5676425991215679769,06:00,10:00,5.76
20210104,-8800005105942951559,06:00,11:30,39.6
20210104,-1135287161356782367,06:30,07:30,7.2
20210104,-6461814495394118895,07:00,09:00,14.4
20210104,-3946710094207837487,09:00,10:00,1.44
20210104,-6903849329596607952,10:00,12:00,14.4
20210104,8248346431092248260,12:15,15:00,19.8
20210104,-5369408163965479079,14:45,17:00,16.2
20210104,-3807651148422241957,15:15,16:15,7.2
20210104,-7631734720817692176,16:00,17:00,7.2
20210104,8248346431092248260,17:00,18:00,7.2
20210104,2473968520053471680,20:30,22:00,10.8
20210105,-649538573264654976,00:00,02:00,14.4
20210105,-649538573264654976,02:00,03:30,10.8
20210105,-5117977818912866300,05:00,07:00,14.4
20210105,-333394643682494087,06:00,09:30,25.2
20210105,-6895670320955208391,06:00,10:00,28.8
20210105,5676425991215679769,06:00,10:00,5.76
20210105,-8800005105942951559,06:00,09:15,23.4
20210105,-5432639813448727208,06:30,15:00,12.24
20210105,-6461814495394118895,07:00,09:00,14.4
20210105,-6903849329596607952,09:00,12:00,21.6
20210105,3718741780888569009,09:30,11:20,13.18
20210105,-3790371143371377667,10:00,17:00,10.08
20210105,5092175384433619388,11:15,15:30,30.6
20210105,-2946847122699154833,11:30,12:30,7.2
20210105,705440019454743188,12:30,15:30,21.6
20210105,8248346431092248260,13:00,14:20,9.58
20210105,-3807651148422241957,15:00,16:00,7.2
20210105,-7631734720817692176,15:00,16:15,9.0
20210106,-5117977818912866300,05:00,07:00,14.4
20210106,-333394643682494087,06:00,09:30,25.2
20210106,-6895670320955208391,06:00,10:00,28.8
20210106,5676425991215679769,06:00,10:00,5.76
20210106,-1135287161356782367,06:30,07:30,7.2
20210106,-6461814495394118895,07:00,09:00,14.4
20210106,3718741780888569009,09:30,11:30,14.4
20210106,-7631734720817692176,10:00,12:00,14.4
20210106,5410612690468526969,10:00,13:00,21.6
20210106,8248346431092248260,12:20,13:30,8.42
20210106,-1793815564369325227,13:00,16:00,21.6
20210106,-3807651148422241957,15:00,16:00,7.2
20210107,-5117977818912866300,05:00,07:00,14.4
