date,hashcode,arrival time,departure time,required energy
20210101,5676425991215679769,6,10,5.76
20210101,-3946710094207837487,9,11,14.4
20210102,6987318350019114177,38,10,1.56
20210102,6987318350019114177,18,13,1.84
20210102,6987318350019114177,30,15,3.1
20210104,-5117977818912866300,5,7,14.4
20210104,-333394643682494087,6,9,25.2
20210104,-6895670320955208391,6,10,28.8
20210104,5676425991215679769,6,10,5.76
20210104,-8800005105942951559,6,11,39.6
20210104,-1135287161356782367,36,7,7.2
20210104,-6461814495394118895,7,9,14.4
20210104,-3946710094207837487,9,10,1.44
20210104,-6903849329596607952,10,12,14.4
20210104,8248346431092248260,27,15,19.8
20210104,-5369408163965479079,59,17,16.2
20210104,-3807651148422241957,30,16,7.2
20210104,-7631734720817692176,16,17,7.2
20210104,8248346431092248260,17,18,7.2
20210104,2473968520053471680,50,22,10.8
20210105,-649538573264654976,0,2,14.4
20210105,-649538573264654976,2,3,10.8
20210105,-5117977818912866300,5,7,14.4
20210105,-333394643682494087,6,9,25.2
20210105,-6895670320955208391,6,10,28.8
20210105,5676425991215679769,6,10,5.76
20210105,-8800005105942951559,6,9,23.4
20210105,-5432639813448727208,36,15,12.24
20210105,-6461814495394118895,7,9,14.4
20210105,-6903849329596607952,9,12,21.6
20210105,3718741780888569009,39,11,13.18
20210105,-3790371143371377667,10,17,10.08
20210105,5092175384433619388,26,15,30.6
20210105,-2946847122699154833,41,12,7.2
20210105,705440019454743188,42,15,21.6
20210105,8248346431092248260,13,14,9.58
20210105,-3807651148422241957,15,16,7.2
20210105,-7631734720817692176,15,16,9.0
20210106,-5117977818912866300,5,7,14.4
20210106,-333394643682494087,6,9,25.2
20210106,-6895670320955208391,6,10,28.8
20210106,5676425991215679769,6,10,5.76
20210106,-1135287161356782367,36,7,7.2
20210106,-6461814495394118895,7,9,14.4
20210106,3718741780888569009,39,11,14.4
20210106,-7631734720817692176,10,12,14.4
20210106,5410612690468526969,10,13,21.6
20210106,8248346431092248260,32,13,8.42
20210106,-1793815564369325227,13,16,21.6
20210106,-3807651148422241957,15,16,7.2
20210107,-5117977818912866300,5,7,14.4
20210107,-333394643682494087,6,9,25.2
20210107,-6895670320955208391,6,10,28.8
20210107,5676425991215679769,6,10,5.76
20210107,-8800005105942951559,6,15,13.32
20210107,-1135287161356782367,36,7,7.2
20210107,-6461814495394118895,7,9,14.4
20210107,-3790371143371377667,37,16,12.24
20210107,2022154938389056120,54,19,72.0
20210107,-5369408163965479079,41,13,14.4
20210107,705440019454743188,42,15,21.6
20210107,5092175384433619388,57,15,19.8
20210107,8248346431092248260,43,15,10.8
20210107,-4304432489298355294,14,16,3.6
20210107,6987318350019114177,14,16,3.53
20210107,-7631734720817692176,30,17,14.4
20210108,-5117977818912866300,5,7,14.4
20210108,-333394643682494087,6,9,25.2
20210108,-6895670320955208391,6,10,28.8
20210108,5676425991215679769,6,10,5.76
20210108,-8800005105942951559,6,9,25.2
20210108,-5432639813448727208,36,15,12.24
20210108,-6461814495394118895,7,9,14.4
20210108,5092175384433619388,37,10,19.8
20210108,-3946710094207837487,10,11,7.2
20210108,5410612690468526969,10,13,21.6
20210108,8248346431092248260,12,13,10.8
20210108,5092175384433619388,42,15,21.6
20210108,-6805330813855537741,43,16,18.0
20210108,-7631734720817692176,16,17,10.8
20210111,-5117977818912866300,5,7,14.4
20210111,-333394643682494087,6,10,28.8
20210111,-6895670320955208391,6,10,28.8
20210111,5676425991215679769,6,10,5.76
20210111,-8800005105942951559,6,12,46.8
20210111,-1135287161356782367,36,7,7.2
20210111,-6461814495394118895,7,9,14.4
20210111,2585196749829987991,7,12,7.92
20210111,-3946710094207837487,9,10,7.2
20210111,5410612690468526969,10,13,21.6
20210111,297337539398252134,10,12,14.4
20210111,-3790371143371377667,40,17,9.36
20210111,-3807651148422241957,11,12,7.2
20210111,297337539398252134,42,15,19.8
20210111,-1793815564369325227,13,16,21.6
20210111,-7631734720817692176,30,17,12.6
20210112,-649538573264654976,0,2,14.4
20210112,-649538573264654976,2,3,10.8
20210112,-5117977818912866300,5,7,14.4
20210112,-333394643682494087,6,10,28.8
20210112,5676425991215679769,6,10,5.76
20210112,-8800005105942951559,6,15,13.68
20210112,-1135287161356782367,36,7,7.2
20210112,-6461814495394118895,7,9,14.4
20210112,2585196749829987991,7,12,7.92
20210112,8248346431092248260,9,12,21.6
20210112,3718741780888569009,39,12,21.6
20210112,5448709080137302862,10,13,25.2
20210112,297337539398252134,42,15,19.8
20210112,-3807651148422241957,15,16,7.2
20210112,7899636815313454778,35,17,16.2
20210113,-649538573264654976,0,2,14.4
20210113,-649538573264654976,2,3,10.8
20210113,-5117977818912866300,5,7,14.4
20210113,-333394643682494087,6,9,25.2
20210113,5676425991215679769,6,10,5.76
20210113,-8800005105942951559,6,10,28.8
20210113,-1135287161356782367,36,7,7.2
20210113,-5432639813448727208,51,15,11.88
20210113,-6461814495394118895,7,9,14.4
20210113,2585196749829987991,7,12,7.92
20210113,7921145478050918603,39,10,7.2
20210113,-3946710094207837487,54,10,7.2
20210113,2022154938389056120,10,13,25.2
20210113,5410612690468526969,10,13,21.6
20210113,-1793815564369325227,13,16,21.6
20210113,-5032868257875194131,29,15,5.98
20210113,-3807651148422241957,15,16,7.2
20210114,-649538573264654976,0,2,14.4
20210114,-649538573264654976,2,3,10.8
20210114,-5117977818912866300,5,7,14.4
20210114,-333394643682494087,6,10,28.8
20210114,-6895670320955208391,6,10,28.8
20210114,5676425991215679769,6,10,5.76
20210114,-8800005105942951559,6,10,28.8
20210114,-1135287161356782367,36,7,7.2
20210114,-6461814495394118895,7,9,14.4
20210114,2585196749829987991,7,12,7.92
20210114,885843050192888149,8,12,28.8
20210114,-2946847122699154833,41,12,7.2
20210114,8248346431092248260,42,15,18.0
20210114,5092175384433619388,13,16,21.6
20210114,-5032868257875194131,43,15,12.02
20210114,-4304432489298355294,14,16,3.0
20210114,-3807651148422241957,45,16,7.2
20210115,-649538573264654976,0,2,14.4
20210115,-649538573264654976,2,3,10.8
20210115,-5117977818912866300,5,7,14.4
20210115,-333394643682494087,6,9,25.2
20210115,-6895670320955208391,6,10,28.8
20210115,5676425991215679769,6,10,5.76
20210115,-1135287161356782367,36,7,7.2
20210115,-6461814495394118895,7,9,14.4
20210115,2585196749829987991,7,12,7.92
20210115,4876867253410653446,8,12,28.8
20210115,5092175384433619388,9,12,21.6
