Employee_hash,Calendar,Start_Time,End_Time,Charging_Hours,Station_Level,Consumption_kWh
-1312581344619208152,46-EVC-LVL2-1,2019-01-01 08:00:00 UTC,2019-01-01 13:30:00 UTC,5.5,1,7.92
4713003321157294575,50E-EVC-LVL1-1,2019-01-01 10:00:00 UTC,2019-01-01 12:30:00 UTC,2.5,1,3.6
6373014433271090066,76-EVC-LVL2-2,2019-01-01 11:00:00 UTC,2019-01-01 13:00:00 UTC,2,2,14.4
5045132995999944743,74-EVC-LVL2-1,2019-01-02 06:00:00 UTC,2019-01-02 09:00:00 UTC,3,2,21.6
5676425991215679769,88-EVC-LVL1-1,2019-01-02 06:00:00 UTC,2019-01-02 10:00:00 UTC,4,1,5.76
-6461814495394118895,76-EVC-LVL2-2,2019-01-02 07:00:00 UTC,2019-01-02 09:00:00 UTC,2,2,14.4
2585196749829987991,88-EVC-LVL1-2,2019-01-02 07:00:00 UTC,2019-01-02 12:45:00 UTC,5.7,1,8.21
1104062946240968217,90-EVC-LVL1-2,2019-01-02 07:00:00 UTC,2019-01-02 15:30:00 UTC,8.5,1,12.24
-6895670320955208391,75B-EVC-LVL1-1,2019-01-02 07:00:00 UTC,2019-01-02 15:30:00 UTC,8.5,1,12.24
4713003321157294575,50E-EVC-LVL1-1,2019-01-02 07:30:00 UTC,2019-01-02 16:00:00 UTC,8.5,1,12.24
1226050917775272740,62-EVC-LVL2-1,2019-01-02 08:15:00 UTC,2019-01-02 10:15:00 UTC,2,2,14.4
4418942884034109172,90-EVC-LVL1-1,2019-01-02 08:30:00 UTC,2019-01-02 17:45:00 UTC,9.2,1,13.25
2473968520053471680,53-EVC-LVL1-1,2019-01-02 09:00:00 UTC,2019-01-02 17:00:00 UTC,8,1,11.52
6100942379803521874,59-EVC-LVL2-2,2019-01-02 09:00:00 UTC,2019-01-02 11:00:00 UTC,2,2,14.4
-1990071044599298569,50F-EVC-LVL2-2,2019-01-02 09:00:00 UTC,2019-01-02 11:30:00 UTC,2.5,2,18
3342984389976241062,27-EVC-LVL2-1,2019-01-02 09:30:00 UTC,2019-01-02 12:30:00 UTC,3,2,21.6
7010621018291729332,54-EVC-LVL1-1,2019-01-02 09:30:00 UTC,2019-01-02 15:30:00 UTC,6,1,8.64
-152860818020396042,59-EVC-LVL2-1,2019-01-02 10:00:00 UTC,2019-01-02 12:30:00 UTC,2.5,2,18
-1608285039820188157,90-EVC-LVL1-3,2019-01-02 10:00:00 UTC,2019-01-02 16:30:00 UTC,6.5,1,9.36
6373014433271090066,76-EVC-LVL2-2,2019-01-02 11:00:00 UTC,2019-01-02 13:00:00 UTC,2,2,14.4
6100942379803521874,50F-EVC-LVL2-1,2019-01-02 11:00:00 UTC,2019-01-02 13:00:00 UTC,2,2,14.4
-3946710094207837487,59-EVC-LVL2-2,2019-01-02 11:30:00 UTC,2019-01-02 12:45:00 UTC,1.2,2,8.64
3342984389976241062,27-EVC-LVL2-1,2019-01-02 12:30:00 UTC,2019-01-02 14:00:00 UTC,1.5,2,10.8
-8059838470279887114,76-EVC-LVL2-2,2019-01-02 13:00:00 UTC,2019-01-02 15:00:00 UTC,2,2,14.4
6100942379803521874,50F-EVC-LVL2-1,2019-01-02 13:00:00 UTC,2019-01-02 15:00:00 UTC,2,2,14.4
-5269635990098312437,59-EVC-LVL2-1,2019-01-02 14:00:00 UTC,2019-01-02 16:00:00 UTC,2,2,14.4
4523361646459172057,59-EVC-LVL2-2,2019-01-02 14:30:00 UTC,2019-01-02 16:30:00 UTC,2,2,14.4
4523361646459172057,71-EVC-LVL2-1,2019-01-02 14:30:00 UTC,2019-01-02 16:30:00 UTC,2,2,14.4
-6308635222364347628,74-EVC-LVL2-1,2019-01-02 14:30:00 UTC,2019-01-02 15:45:00 UTC,1.2,2,8.64
5359113806410955155,76-EVC-LVL2-2,2019-01-02 15:00:00 UTC,2019-01-02 17:00:00 UTC,2,2,14.4
-4280459054801710588,90-EVC-LVL1-2,2019-01-02 15:30:00 UTC,2019-01-02 19:00:00 UTC,3.5,1,5.04
-5269635990098312437,59-EVC-LVL2-1,2019-01-02 16:00:00 UTC,2019-01-02 18:30:00 UTC,2.5,2,18
-7502696767971594757,50F-EVC-LVL2-1,2019-01-03 05:45:00 UTC,2019-01-03 08:00:00 UTC,2.3,2,16.56
5676425991215679769,88-EVC-LVL1-1,2019-01-03 06:00:00 UTC,2019-01-03 10:00:00 UTC,4,1,5.76
8936617719249865335,50F-EVC-LVL2-2,2019-01-03 06:00:00 UTC,2019-01-03 08:30:00 UTC,2.5,2,18
5045132995999944743,74-EVC-LVL2-1,2019-01-03 07:00:00 UTC,2019-01-03 11:00:00 UTC,4,2,28.8
-6461814495394118895,76-EVC-LVL2-2,2019-01-03 07:00:00 UTC,2019-01-03 09:00:00 UTC,2,2,14.4
2585196749829987991,88-EVC-LVL1-2,2019-01-03 07:00:00 UTC,2019-01-03 12:30:00 UTC,5.5,1,7.92
1104062946240968217,90-EVC-LVL1-3,2019-01-03 07:00:00 UTC,2019-01-03 15:30:00 UTC,8.5,1,12.24
-6895670320955208391,75B-EVC-LVL1-1,2019-01-03 07:00:00 UTC,2019-01-03 15:30:00 UTC,8.5,1,12.24
4713003321157294575,50E-EVC-LVL1-1,2019-01-03 07:30:00 UTC,2019-01-03 16:00:00 UTC,8.5,1,12.24
