INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,1,2021-09-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4089.69,DAM,1
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,1,2021-09-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5133.43,DAM,1
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,1,2021-09-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4447.13,DAM,1
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,1,2021-09-01,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3975.73,DAM,1
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,1,2021-09-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4436.33,DAM,1
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,1,2021-09-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5546.31,DAM,1
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,1,2021-09-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5560.35,DAM,1
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3692.38,DAM,1
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,1,2021-09-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5356.59,DAM,1
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,1,2021-09-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5219.05,DAM,1
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,1,2021-09-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4016.48,DAM,1
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4697.47,DAM,1
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,1,2021-09-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5354.46,DAM,1
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,1,2021-09-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4846.03,DAM,1
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,1,2021-09-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3511.21,DAM,1
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,1,2021-09-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5297,DAM,1
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,1,2021-09-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3777.54,DAM,1
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,1,2021-09-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3623.74,DAM,1
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,1,2021-09-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3609.16,DAM,1
