 01/01/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
day 1,15000,14916,14834,14746,14698,14608,14558,14490,14414,14330,14224,14134,14124,14136,14100,14004,13936,13866,13812,13726,13646,13510,13434,13344,13276,13270,13258,13232,13156,13094,13004,13054,13102,13088,13142,13158,13168,13214,13220,13148,13170,13208,13190,13160,13112,13092,13078,13052,13082,13078,13046,13022,12960,12976,12980,13002,13042,13064,13066,13116,13176,13330,13492,13538,13538,13544,13574,13644,13698,13768,13756,13808,13946,14000,14060,14182,14222,14290,14262,14364,14386,14368,14360,14390,14434,14450,14284,14140,14042,13948,13800,13514,13122,12810,12478,12066,11662,11330,11012,10566,10104,9724,9282,8768,8362,8004,7846,7676,7420,7116,7020,6846,6704,6590,6462,6396,6302,6370,6222,6092,5902,5646,5594,5576,5490,5396,5372,5274,5306,5358,5256,5178,5072,4962,5012,5058,5016,4910,4980,5030,5134,5182,5176,5166,5116,5222,5254,5178,5176,5130,5142,5226,5264,5228,5194,5218,5320,5250,5316,5198,5276,5370,5464,5492,5722,5698,5838,6096,6174,6398,6702,6752,6640,6776,6816,6888,7080,7286,7590,7780,8010,8178,8606,8962,9298,9682,10248,11056,11580,12216,12654,13134,13500,13772,14264,14818,15336,15634,15800,16162,16346,16536,16780,17046,17352,17538,17812,18042,18224,18380,18460,18598,18660,18730,18764,18754,18670,18578,18458,18458,18422,18344,18352,18280,18158,18132,18044,18108,17970,17928,17878,17902,17946,18008,18012,17988,17956,17922,17878,17862,17824,17778,17734,17674,17680,17712,17682,17660,17620,17612,17550,17496,17534,17564,17550,17510,17430,17410,17406,17428,17336,17344,17266,17230,17152,16878,16756,16720,16616,16462,16486,16466,16394,16198,16048,15936,15854,15820,15848,15718,15596,15424,15322,15222,15134,15056,14994
day 2,14888,15082,15160,15160,15166,15126,15070,15060,15002,14934,14864,14810,14732,14700,14622,14536,14518,14548,14570,14576,14596,14576,14598,14568,14456,14398,14462,14380,14192,14040,13928,13892,13844,13858,13848,13932,13950,13952,13974,13964,14014,14032,14054,14044,14058,14048,14078,14064,14082,14020,13920,13842,13858,13838,13894,13844,13832,13806,13796,13802,13834,13806,13840,13858,13818,13784,13788,13788,13768,13758,13798,13840,13920,13990,14044,14110,14142,14102,14150,14248,14322,14320,14278,14226,14254,14244,14184,14076,14004,13852,13676,13340,13284,13256,13166,12938,12934,12842,12410,12008,11734,11552,11324,10908,10482,10206,9834,9566,9362,9282,9238,9372,9096,8754,8722,8670,8528,8476,8354,8120,8106,8156,7994,8298,8070,7774,8238,8406,8114,7972,7870,8000,7886,7642,8054,8000,7948,7718,8050,7904,7654,7680,7536,7866,7704,7962,7940,8020,8092,8178,8138,8044,8034,8036,8044,8072,8158,8142,8072,8024,7908,7926,7866,7528,7782,8000,8116,8170,8462,8664,8514,8718,9342,9500,9700,10092,10386,10274,10654,10848,11196,11390,11832,12124,12402,12674,13036,13674,14184,14372,14654,15134,15232,15328,15590,15786,16040,16326,16432,16640,16818,16992,17282,17466,17732,17950,18200,18246,18494,18792,18776,18844,18946,19016,18972,18828,18866,19016,18892,18790,18688,18572,18500,18546,18484,18368,18342,18200,18232,18296,18196,18110,18086,18002,17998,17932,17878,17796,17640,17268,17254,17330,17208,17072,17034,16966,16962,16978,16856,16742,16596,16496,16384,16446,16290,16222,16178,16136,15954,15710,15596,15478,15386,15286,15210,15120,15022,14874,14836,14762,14666,14544,14496,14434,14440,14372,14262,14306,14234,14186,14104,14098,14080,14120,14174,14172,14316
day 3,14290,14354,14334,14298,14228,14224,14236,14288,14244,14160,14102,14108,14120,14034,13932,13826,13680,13504,13344,13342,13306,13266,13300,13230,13214,13170,13072,13030,12986,12900,12938,12910,12928,12938,13006,12970,12978,13012,12958,12976,12956,12894,12880,12804,12770,12744,12650,12612,12670,12774,12876,12920,12918,12988,13018,13140,13120,13080,13010,13024,13146,13094,13048,13096,13080,13044,13092,13094,13072,13106,13134,13196,13220,13274,13214,13208,13138,13098,13124,13170,13122,13058,13044,13032,13078,13098,12954,12798,12696,12534,12556,12500,12408,12292,12032,11902,11686,11354,11236,10856,10440,10246,10078,9618,9300,9104,9000,8836,8792,8600,8870,9032,8664,8358,8168,8066,8144,7764,7740,7752,7844,7920,7670,7482,7754,7698,7638,7706,7828,7728,7488,7498,7324,7124,7328,7346,7420,7322,7016,7122,6832,6670,6636,6640,6612,6406,6512,6642,6648,6876,7004,7132,7288,7366,7594,7576,7510,7640,7414,7288,7340,7312,7140,7238,7292,7280,7342,7452,7450,7668,7930,8020,8012,8190,8310,8430,8680,8744,8656,9090,9490,9970,10182,10388,10514,10878,11400,11860,12408,12788,13204,13696,14094,14188,14422,14892,15234,15572,15822,16338,16782,16958,17116,17388,17644,17866,17908,18030,18188,18314,18474,18902,18988,18992,19020,19022,19088,19044,18972,18870,18932,18912,18878,19018,18882,18834,18818,18760,18736,18808,18714,18620,18630,18652,18584,18552,18550,18502,18454,18418,18344,18284,18212,18156,18134,18060,17982,17888,17802,17746,17668,17642,17652,17712,17600,17526,17414,17374,17354,17206,17052,16968,16820,16726,16668,16618,16524,16386,16300,16230,16156,16052,15986,15874,15816,15696,15598,15538,15452,15446,15420,15300,15180,15086,15062,15044,15018
day 4,14810,14862,14962,14902,14862,14778,14668,14576,14562,14544,14452,14360,14330,14376,14318,14246,14316,14314,14250,14190,14212,14186,14152,14126,14194,14204,14150,14144,14114,14086,14072,14084,14040,14044,14048,14028,14026,14002,14002,14032,14022,14000,13978,13988,13996,14056,14152,14188,14250,14328,14356,14430,14466,14498,14590,14630,14614,14686,14780,14866,14984,15048,15010,15050,15000,15066,15122,15246,15314,15336,15362,15480,15594,15808,15840,16010,16212,16226,16356,16538,16602,16594,16646,16592,16508,16556,16432,16274,16248,16172,15986,15856,15664,15508,15232,14992,14744,14674,14562,14226,13848,13378,12804,12406,12094,11770,11538,11362,11162,11106,11046,11022,10878,10702,10590,10550,10570,10460,10376,10352,10138,10190,10152,10146,10196,10112,10070,10056,10038,10062,10022,10016,10146,10190,10072,10230,10240,10176,10054,10218,10110,10068,10126,9986,9908,9788,9904,9960,9868,9886,9928,10024,10020,9824,9608,9418,9468,9316,9192,9056,8994,9000,9106,8924,8824,8958,8896,8908,8858,8692,8766,8792,8974,8960,9090,9072,9064,9156,9292,9406,9642,9838,10214,10650,10854,11010,11422,11798,12194,12578,13214,13640,13760,13790,14254,14784,14978,15182,15378,15662,15864,16138,16420,16818,17192,17556,17874,18064,18152,18196,18284,18632,18876,18876,18798,18762,18804,18880,18818,18766,18688,18552,18520,18318,18066,18092,18196,18230,18086,17944,17828,17826,17730,17684,17658,17612,17506,17482,17418,17318,17222,17050,16826,16748,16790,16866,16836,16800,16780,16782,16738,16754,16814,16874,16724,16606,16594,16544,16372,16190,16064,15930,15894,15894,15794,15798,15786,15798,15780,15720,15658,15620,15530,15464,15440,15452,15460,15352,15252,15162,15054,14978,14932,14946,15120,15096,15038
day 5,14856,15032,14960,14814,14746,14726,14658,14654,14536,14474,14364,14312,14262,14254,14142,14140,14102,14040,13916,13804,13674,13618,13556,13500,13448,13358,13316,13290,13338,13372,13484,13572,13432,13294,13296,13286,13320,13368,13344,13354,13380,13376,13370,13382,13402,13424,13438,13480,13514,13664,13666,13588,13602,13642,13762,13856,13898,13786,13788,13868,14044,14136,14074,14070,14262,14396,14408,14506,14556,14522,14408,14506,14700,14968,15070,15202,15234,15252,15412,15682,15784,15926,16098,16254,16224,16328,16374,16330,16278,16240,16136,15948,15768,15614,15566,15390,15116,14800,14540,14272,14006,13754,13146,12800,12598,12440,12440,12274,12002,12128,12062,11884,11690,11442,11184,10976,10846,10590,10410,10198,10164,10114,9918,9774,9572,9340,9334,9268,9232,9184,9146,9128,9080,9118,9094,8970,8988,8972,8974,8926,8888,8864,8892,8934,8922,8902,9016,8948,8696,8698,8820,8904,8742,8598,8690,8876,8818,8788,8830,8808,8862,9004,9086,9072,9054,9192,9220,9374,9442,9540,9724,9794,10058,10390,10798,11138,11228,11478,11788,12106,12408,12500,12812,13320,13548,13886,14148,14352,14606,14962,15390,15958,16266,16332,16774,17102,17242,17430,17662,18144,18590,18812,19040,19194,19422,20292,20454,20548,20704,20870,20954,21006,21036,21140,21212,21250,21200,21090,20984,20986,20976,20968,20970,20902,20830,20816,20806,20714,20666,20338,20070,20024,20008,20000,20068,20054,19978,19926,19872,19730,19730,19694,19666,19690,19572,19486,19520,19398,19076,19060,19018,18924,18826,18912,18850,18688,18612,18506,18440,18358,18328,18230,18216,18196,18116,17894,17724,17648,17676,17636,17614,17584,17466,17336,17306,17260,17114,16940,16662,16482,16410,16348,16310,16244,16216,16134,16086
day 6,15918,15892,15756,15686,15534,15440,15416,15410,15376,15364,15268,15286,15238,15234,15234,15214,15220,15258,15300,15288,15238,15170,15126,15160,15164,15074,15158,15192,15160,15108,15098,15040,14980,14972,14962,14968,14972,15028,15010,14960,14904,14830,14836,14928,14932,14910,14954,14988,15044,15200,15228,15210,15212,15208,15254,15338,15388,15488,15580,15592,15770,15950,16062,16208,16278,16418,16454,16860,17144,17158,17188,17278,17510,17834,18004,18120,18376,18482,18408,18848,18760,18832,18920,18906,18968,19224,19036,18908,18990,19056,18918,18772,18630,18474,18088,17480,17082,16668,16110,15860,15618,15478,15340,15098,14960,14726,14314,14016,13806,13568,13490,13450,13306,13198,13150,13046,13044,12746,12536,12230,12320,12324,12252,12374,12554,12366,12250,12206,12080,12016,11818,11632,11656,11740,11646,11528,11502,11334,11294,11302,11180,10994,11092,11132,11152,11196,11320,11156,11294,11566,11422,11174,11370,11706,11498,11530,11992,12188,12086,11846,11976,11828,11782,11730,12040,12132,12108,12140,12050,12356,12316,12224,12270,12166,12262,12306,12240,12504,12588,12838,13340,13436,13218,13582,13674,13714,14106,14584,14830,15336,15572,15806,16046,16200,16344,16644,17316,17766,17746,18322,18494,18398,18764,19296,19702,19632,19442,19678,19880,19920,20024,20134,20230,20364,20362,20136,20076,20124,20090,20220,20094,19888,19864,19786,19726,19678,19710,19738,19704,19546,19414,19446,19484,19520,19530,19482,19308,19322,19316,19282,19244,19168,19026,18914,18864,18824,18814,18798,18738,18754,18694,18628,18588,18674,18678,18574,18520,18536,18394,18140,17850,17748,17684,17566,17506,17338,17322,17238,17150,17114,17076,17042,16970,16874,16690,16522,16352,16264,16212,16146,16010,15902,15762,15718,15650,15528,15366
day 7,15228,15320,15322,15204,15148,15060,15108,15054,15048,15024,14930,14874,14830,14846,14772,14624,14536,14526,14526,14492,14484,14522,14532,14520,14478,14498,14498,14406,14294,14230,14210,14178,14116,14074,14112,14166,14204,14310,14384,14416,14464,14556,14602,14674,14750,14726,14772,14818,14874,14976,14998,14992,15002,15086,15104,15166,15192,15320,15410,15516,15636,15812,15964,16116,16188,16270,16344,16662,16962,17130,17100,17190,17310,17502,17590,17668,18066,18316,18382,18560,18634,18764,18794,18808,18826,18996,18942,18868,18828,18816,18574,18278,17868,17658,17384,17056,16932,16950,17122,17096,17048,16860,16736,16402,16146,16030,15906,15704,15618,15476,15500,15370,15596,15504,15144,14426,13888,13608,13658,13632,13646,13802,13760,13610,13504,13284,13152,13114,13034,13024,13018,12878,12870,12832,12514,12572,12468,12246,12260,12130,11976,11880,11752,11650,11672,11738,11776,11896,11784,11794,11904,11890,11994,12262,12210,12140,12044,11874,11694,11618,11492,11492,11540,11540,11430,11536,11498,11394,11374,11600,11878,12232,12262,12438,12528,12572,12636,12952,13206,13400,13542,13646,13826,13972,14084,14424,14686,14944,15268,15690,16052,16480,16726,16620,16852,17174,17456,17632,17840,18346,18770,19006,19316,19524,19660,19944,20042,20258,20480,20752,20968,21106,21102,21090,21110,21122,21148,21220,21302,21324,21304,21270,21236,21152,21088,21132,21118,21122,21098,21166,21146,21028,20922,20862,20826,20644,20534,20516,20436,20354,20352,20410,20392,20356,20236,20170,20142,20078,20052,20036,19826,19596,19562,19566,19496,19390,19320,19230,19182,19120,19070,19024,18928,18820,18586,18432,18364,18180,18094,17974,17882,17798,17678,17572,17478,17376,17252,17046,16968,16848,16788,16732,16656,16628,16608,16490,16386
day 8,16204,16166,16060,15968,15936,15898,15886,15838,15810,15758,15688,15658,15618,15586,15594,15582,15532,15486,15464,15430,15398,15372,15328,15300,15284,15254,15222,15202,15174,15156,15174,15168,15146,15124,15132,15154,15144,15080,15070,15070,15050,15070,15100,15114,15100,15054,15010,15012,15094,15222,15310,15314,15346,15366,15400,15526,15580,15646,15712,15796,15880,16160,16312,16436,16512,16564,16626,16924,17240,17154,17146,17190,17316,17466,17378,17514,17736,17804,17794,18074,18052,18044,18054,18042,18088,18180,17984,17960,17816,17678,17640,17442,17196,17114,16784,16330,16112,16320,16284,16156,15936,15626,15456,15252,15024,14702,14470,14164,14032,13966,13744,13524,13360,13250,13202,13102,12928,12754,12820,12580,12364,12348,12226,11972,12018,11880,11644,11512,11574,11746,11690,11530,11530,11740,11800,11738,11730,11914,11806,11806,11674,11542,11524,11498,11448,11306,11292,11226,11172,11208,11074,10980,10980,10826,10852,10828,10766,10566,10432,10386,10264,10050,10066,9892,9776,9864,9756,9624,9410,9596,9540,9408,9522,9462,9532,9430,9490,9650,9726,9598,9730,9732,9866,9786,10086,10504,10592,11000,11308,11812,12280,12740,13224,13442,13940,14414,14650,15142,15488,15802,16012,16232,16410,16554,16738,16838,17036,17420,17632,17750,17882,17954,18018,18102,18176,18236,18246,18296,18404,18464,18336,18352,18424,18430,18476,18454,18392,18338,18322,18278,18208,18188,18126,18078,18012,18028,18006,18028,18112,18066,18070,18216,18186,18104,18054,18100,18060,17992,17960,17954,17848,17842,17894,17832,17906,17846,17832,17876,17950,17928,17828,17798,17704,17530,17318,17168,17030,16864,16742,16626,16544,16534,16368,16300,16190,16148,16018,15788,15662,15556,15480,15430,15378,15350,15236,15236,15124
day 9,14980,14978,14886,14792,14700,14654,14600,14534,14508,14446,14390,14332,14288,14162,14064,14000,13944,13956,13928,13924,13850,13766,13734,13694,13640,13726,13810,13866,13850,13808,13742,13682,13608,13572,13502,13464,13448,13356,13300,13276,13224,13172,13122,13146,13118,13108,13098,13098,13086,13110,13122,13166,13208,13200,13228,13262,13304,13322,13292,13282,13374,13578,13728,13896,14026,14106,14134,14180,14294,14284,14426,14596,14874,15108,15260,15392,15518,15604,15742,15902,16108,16298,16398,16468,16514,16414,16336,16360,16276,16116,15938,15784,15614,15406,15120,14902,14534,14344,14024,13666,13388,13046,12728,12442,12248,12002,11572,11350,11156,11280,11332,11366,11380,11146,11056,10964,10780,10648,10610,10380,10198,9774,9592,9336,9224,9114,9104,9064,9048,8936,8840,8694,8352,7996,7764,7684,7682,7592,7548,7508,7410,7378,7374,7304,7244,7178,7132,7218,7226,7198,7234,7322,7338,7310,7112,6992,6854,6590,6550,6514,6548,6536,6538,6626,6722,6706,6842,6996,6964,6842,7058,7180,7414,7494,7774,8144,8338,8608,8732,8830,8896,9190,9406,9672,9838,10208,10746,11346,11768,12312,12682,13158,13524,13846,14394,14974,15478,15892,16210,16850,17436,17620,17668,17814,18034,18540,18912,19022,19084,19236,19212,19624,19628,19628,19702,19650,19636,19682,19618,19556,19556,19434,19436,19428,19398,19374,19376,19352,19348,19478,19532,19474,19418,19354,19300,19212,19128,19084,19056,19006,18984,19090,19098,18984,18834,18724,18702,18608,18482,18448,18404,18348,18308,18176,18082,17852,17852,17838,17732,17606,17496,17410,17334,17280,17178,17108,17176,17074,16958,16872,16856,16742,16702,16608,16536,16430,16262,16134,16154,16042,15946,15834,15806,15720,15640,15548,15484
day 10,15416,15520,15546,15608,15548,15486,15420,15376,15356,15330,15280,15234,15196,15096,15042,14998,15032,14990,14992,14972,14928,14964,14936,14908,14898,14874,14820,14872,14948,14964,14912,14906,14854,14834,14836,14752,14728,14828,14804,14786,14786,14766,14736,14754,14710,14684,14680,14646,14692,14730,14796,14796,14812,14838,14832,14884,14818,14836,14824,14836,14876,14870,14866,14918,14956,14990,15088,15098,15132,15194,15194,15226,15300,15412,15524,15636,15676,15716,15750,15810,15834,15854,15866,15852,15862,15894,15776,15698,15462,15148,14928,14774,14424,14124,13788,13472,13120,12910,12522,12084,11736,11454,11092,10752,10642,10338,10170,10032,9526,9670,9326,9036,9262,9106,9068,9238,9204,8996,8694,8616,8776,8582,8502,8470,8214,8030,7930,7938,7878,7772,7866,7988,8076,8162,8156,8118,8100,8034,8010,8034,7936,8016,8040,8046,8002,7750,7820,7602,7598,7534,7388,7368,7342,7236,7106,7126,7176,7066,7004,7086,6962,6736,6854,6654,6756,6994,6974,7072,7098,7384,7546,7500,7500,7880,8036,8144,8312,8926,9180,9766,10060,10358,10998,11366,11512,11614,12122,12806,13504,13934,14272,14826,15088,15252,15822,16238,16556,17076,17346,17702,18048,18378,18702,19094,19324,19262,19390,19720,19944,20260,20346,20506,20570,20676,20660,20496,20480,20414,20128,19930,19832,19764,19642,19560,19440,19428,19304,19216,19240,19218,19146,19112,18990,18928,18822,18890,18874,18818,18814,18814,18850,18972,18856,18804,18750,18732,18708,18578,18342,18440,18316,18250,18178,18190,18168,18098,17984,17990,17936,17826,17696,17676,17566,17448,17432,17458,17450,17332,17290,17224,17110,17028,16942,16856,16738,16668,16550,16402,16334,16308,16208,16084,16020,16000,15822,15772,15776
