,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,0,-1,20.16,20.16,100.0,2,3.743254550634227
0,1,-1,6.5,6.5,100.0,3,1.432489457409913
0,2,-1,219.6,219.6,100.0,15,53.8656516127793
0,3,-1,279.44,279.44,100.0,18,67.0650441288309
0,4,-1,183.38,183.38,100.0,12,42.34333787903147
0,5,-1,281.45,249.06,88.49,16,65.91268518823965
0,6,-1,235.8,235.8,100.0,14,66.9243550736434
0,7,-1,267.84,258.84,96.64,16,66.92864581036153
0,8,-1,228.96,228.96,100.0,15,56.74033127229333
0,9,-1,236.74,236.74,100.0,17,60.808296887881674
0,10,-1,259.1,259.1,100.0,17,69.67318385701493
0,11,-1,283.46,283.46,100.0,18,79.89234487839315
0,12,-1,28.2,28.2,100.0,3,8.88508203943547
0,13,-1,75.6,75.6,100.0,4,21.295879214582698
0,14,-1,7.2,7.2,100.0,1,1.2927709909675251
0,15,-1,338.26,331.83,98.1,18,66.64201775803643
0,16,-1,193.68,193.68,100.0,13,45.55223319105783
0,17,-1,185.47,185.47,100.0,14,37.44562512949012
0,18,-1,227.88,227.88,100.0,14,50.149708845644376
0,19,-1,28.63,28.63,100.0,3,7.915824219834335
0,20,-1,54.0,54.0,100.0,3,12.804763923689466
0,21,-1,224.78,216.68,96.4,15,52.985400951913725
0,22,-1,385.06,368.47,95.69,21,91.92065631846178
0,23,-1,175.68,175.68,100.0,11,38.23572134470521
0,24,-1,168.98,168.98,100.0,11,41.85194828851011
0,25,-1,253.08,253.08,100.0,18,53.260033353031986
0,26,-1,3.05,3.05,100.0,1,0.7581862691426531
0,27,-1,302.66,295.27,97.56,20,80.85199580502763
0,28,-1,298.08,298.08,100.0,21,78.09131073575111
0,29,-1,254.52,254.52,100.0,18,62.12025919615355
0,30,-1,216.58,216.58,100.0,17,59.0629887771448
0,31,-1,333.72,320.2,95.95,18,90.30601583033321
0,32,-1,27.17,27.17,100.0,3,8.293001191214707
0,33,-1,273.6,273.6,100.0,17,51.77290678133361
0,34,-1,250.92,250.92,100.0,17,53.359244666360695
0,35,-1,287.5,287.5,100.0,18,66.0677456032157
0,36,-1,221.88,221.88,100.0,15,51.56115093698417
0,37,-1,210.6,210.6,100.0,15,53.80051547007948
0,38,-1,2.59,2.59,100.0,2,0.4596127022362424
0,39,-1,41.76,41.76,100.0,2,10.950307256647024
0,40,-1,348.34,341.46,98.02,21,60.9353798170961
0,41,-1,291.24,291.24,100.0,16,70.28524414505577
0,42,-1,209.3,209.3,100.0,17,42.494564981758174
0,43,-1,250.06,249.41,99.74,16,45.10269394915319
0,44,-1,33.84,33.84,100.0,2,7.137603762262635
0,45,-1,59.04,59.04,100.0,4,13.691561960903238
0,46,-1,222.12,222.12,100.0,16,45.35989079424147
0,47,-1,387.22,387.22,100.0,26,70.16202852128325
0,48,-1,361.8,361.8,100.0,26,80.07965392900286
0,49,-1,273.6,273.6,100.0,17,59.44725456286482
0,50,-1,355.32,355.32,100.0,26,63.171315797602965
0,51,-1,38.98,38.98,100.0,4,8.86717870850135
0,52,-1,34.2,34.2,100.0,1,10.46418409343211
0,53,-1,244.56,244.56,100.0,19,52.60328809187835
0,54,-1,287.14,287.14,100.0,20,49.659776403332515
0,55,-1,270.72,267.05,98.64,17,56.83755280531108
0,56,-1,264.0,264.0,100.0,19,50.76890703545678
0,57,-1,270.72,270.72,100.0,18,44.75336246867364
0,58,-1,51.7,51.7,100.0,6,12.060537003503866
0,59,-1,33.84,33.84,100.0,3,10.904750907982748
0,60,-1,249.12,248.12,99.6,18,54.164297709854765
0,61,-1,254.52,254.52,100.0,19,65.94608432901072
0,62,-1,274.46,274.46,100.0,18,61.490972835900585
0,63,-1,270.84,270.84,100.0,18,52.93402131090432
0,64,-1,274.46,274.46,100.0,19,51.22331673976218
0,65,-1,51.0,51.0,100.0,5,12.417797669349001
0,66,-1,311.73,299.2,95.98,19,51.37228409997719
0,67,-1,358.56,358.56,100.0,25,63.47856456667628
0,68,-1,299.16,299.16,100.0,19,71.61136814881563
0,69,-1,254.64,254.64,100.0,18,66.58716636839245
0,70,-1,346.32,346.32,100.0,22,80.47804668918022
0,71,-1,68.4,68.4,100.0,6,12.374963232115066
0,72,-1,44.64,44.64,100.0,4,8.231090841056032
0,73,-1,217.22,217.22,100.0,18,49.93277185291958
0,74,-1,385.56,380.57,98.71,23,70.28505802597184
0,75,-1,275.4,275.4,100.0,20,68.56584677240774
0,76,-1,247.08,247.08,100.0,16,65.29265137716762
0,77,-1,256.54,256.54,100.0,20,63.247044490607536
0,78,-1,24.41,24.41,100.0,3,6.377826572335607
0,79,-1,57.6,57.6,100.0,3,11.67793383570592
0,80,-1,261.69,261.69,100.0,20,57.17541960390879
0,81,-1,363.53,363.53,100.0,27,61.21173814488919
0,82,-1,306.0,294.18,96.14,21,61.7793293978994
0,83,-1,349.32,337.71,96.68,23,72.50297879674328
0,84,-1,229.32,229.32,100.0,17,50.27055897431888
0,85,-1,44.64,44.64,100.0,3,9.819601437613994
0,86,-1,8.64,8.64,100.0,1,2.859533517575537
0,87,-1,275.76,275.76,100.0,20,47.03435791217617
0,88,-1,277.78,277.78,100.0,20,48.582486084425106
0,89,-1,270.0,270.0,100.0,21,51.18438746984821
0,90,-1,304.68,299.27,98.22,18,64.77495619830849
0,91,-1,343.58,343.58,100.0,22,58.59654462622953
0,92,-1,21.6,21.6,100.0,2,6.038208162481577
0,93,-1,14.4,14.4,100.0,1,1.5607245986608203
0,94,-1,341.28,336.58,98.62,20,49.28853216165953
0,95,-1,318.24,305.15,95.89,18,46.13497325749236
0,96,-1,329.18,329.18,100.0,22,49.44076482604777
0,97,-1,322.82,311.1,96.37,21,44.86213117055927
0,98,-1,383.76,376.68,98.16,24,53.40327527535293
0,99,-1,50.16,50.16,100.0,6,9.077157359524742
0,100,-1,106.42,106.42,100.0,7,14.781234674685754
0,101,-1,420.48,420.48,100.0,31,63.07643186960432
0,102,-1,356.76,354.32,99.32,27,49.194161030733945
0,103,-1,335.92,335.92,100.0,26,50.44942910413654
0,104,-1,431.14,422.49,97.99,32,64.82326429437072
0,105,-1,273.24,273.24,100.0,17,47.21599725254216
0,106,-1,28.8,28.8,100.0,2,6.247104403313424
0,107,-1,28.8,28.8,100.0,1,2.2953886805860875
0,108,-1,200.3,200.3,100.0,17,31.19609305764787
0,109,-1,407.16,407.16,100.0,25,56.906482097467546
0,110,-1,295.18,295.18,100.0,21,50.94490475989864
0,111,-1,309.22,309.22,100.0,25,49.179484738307714
0,112,-1,237.6,237.6,100.0,16,37.08126498888497
0,113,-1,51.84,51.84,100.0,5,9.246650976966096
0,114,-1,8.64,8.64,100.0,1,2.095014868784485
0,115,-1,338.57,338.57,100.0,23,62.60665117381721
0,116,-1,378.22,373.53,98.76,27,41.42357859109721
0,117,-1,444.1,438.25,98.68,29,64.7488779120091
0,118,-1,304.92,304.92,100.0,24,51.07115098447966
0,119,-1,393.84,387.37,98.36,26,67.96881409293157
0,120,-1,263.3,263.3,100.0,20,30.418349161290227
0,121,-1,450.72,435.33,96.59,28,35.75382023273893
0,122,-1,354.96,354.96,100.0,24,49.640667058739396
0,123,-1,350.06,350.06,100.0,23,62.33626553578735
0,124,-1,410.18,390.08,95.1,27,66.46082674623187
0,125,-1,41.76,41.76,100.0,4,7.973228499429165
0,126,-1,15.84,15.84,100.0,2,2.8684874838912546
0,127,-1,275.04,275.04,100.0,21,39.84120385939964
0,128,-1,447.48,443.99,99.22,32,44.62947336142562
0,129,-1,307.3,307.3,100.0,24,44.76984523874328
0,130,-1,261.39,261.39,100.0,24,45.334402358630776
0,131,-1,401.12,386.7,96.41,27,68.79240450023302
0,132,-1,21.6,21.6,100.0,2,5.363450854389993
0,133,-1,21.6,21.6,100.0,2,4.858430661572052
0,134,-1,287.83,287.83,100.0,22,39.31588929420568
0,135,-1,326.96,326.96,100.0,23,32.21370893641813
0,136,-1,261.0,261.0,100.0,21,33.50256151822933
0,137,-1,400.93,379.07,94.55,28,46.20725202942577
0,138,-1,295.2,292.43,99.06,19,33.444393242244836
0,139,-1,15.84,15.84,100.0,2,2.563339686109796
0,140,-1,8.64,8.64,100.0,1,2.09751525543559
0,141,-1,23.98,23.98,100.0,3,4.606573173832196
0,142,-1,415.8,415.8,100.0,28,52.72815295123557
0,143,-1,377.86,377.82,99.99,26,60.393654084175054
0,144,-1,332.35,332.35,100.0,25,50.10825369115454
0,145,-1,325.08,311.19,95.73,20,57.8573416037194
0,146,-1,274.93,274.93,100.0,20,38.15651000235492
0,147,-1,392.98,392.98,100.0,29,62.52538560331926
0,148,-1,415.44,407.79,98.16,28,39.01639133802892
0,149,-1,441.48,436.67,98.91,29,52.98526241532772
0,150,-1,423.72,407.37,96.14,29,64.97422221898545
0,151,-1,30.24,30.24,100.0,3,8.630478655634219
0,152,-1,37.44,37.44,100.0,3,7.111521504486503
0,153,-1,306.58,306.58,100.0,24,57.96012593741104
0,154,-1,400.18,400.18,100.0,27,68.2032259006443
0,155,-1,273.6,273.6,100.0,22,39.35914029361739
0,156,-1,340.92,340.92,100.0,25,39.02391088279286
0,157,-1,168.48,152.33,90.41,11,26.176878768969416
0,158,-1,21.6,21.6,100.0,2,5.4820060266055375
0,159,-1,28.8,28.8,100.0,3,6.375628253596533
0,160,-1,369.72,361.6,97.8,24,58.912881505349375
0,161,-1,335.02,333.23,99.47,25,46.72490457490414
0,162,-1,342.36,342.36,100.0,25,48.210045202741654
0,163,-1,293.76,293.76,100.0,23,36.77286177626849
0,164,-1,302.18,281.83,93.27,19,53.858347010066105
0,165,-1,29.66,29.66,100.0,2,7.906089969518675
0,166,-1,8.64,8.64,100.0,1,2.6634682449855838
0,167,-1,294.98,294.98,100.0,22,71.64712301746188
0,168,-1,494.28,484.52,98.03,32,113.31176649915811
0,169,-1,231.08,231.08,100.0,20,51.17091411962914
0,170,-1,302.04,302.04,100.0,25,48.55268873460467
0,171,-1,417.74,413.08,98.88,27,72.580506105232
0,172,-1,21.6,21.6,100.0,2,6.289983061732679
0,173,-1,20.16,20.16,100.0,2,4.696065411825629
0,174,-1,398.52,395.62,99.27,26,78.11957856049644
0,175,-1,285.84,278.64,97.48,24,49.3912768951926
0,176,-1,342.36,342.36,100.0,29,61.18377373977481
0,177,-1,283.9,283.9,100.0,21,52.64589797442598
0,178,-1,23.04,23.04,100.0,2,4.883578422775896
0,179,-1,8.64,8.64,100.0,1,2.574480378473126
0,180,-1,337.44,337.44,100.0,25,80.29911780015404
0,181,-1,389.98,389.98,100.0,28,83.44658723771947
0,182,-1,401.86,401.86,100.0,30,89.172894455812
0,183,-1,389.4,389.4,100.0,27,85.30383684509303
0,184,-1,340.42,340.42,100.0,24,59.19230437502434
0,185,-1,419.9,419.9,100.0,27,70.66688742607649
0,186,-1,428.4,428.4,100.0,29,79.62200388449749
0,187,-1,391.68,391.68,100.0,28,79.42149998197878
0,188,-1,395.42,395.42,100.0,28,89.14020942709983
0,189,-1,454.54,454.54,100.0,29,105.51402884454555
0,190,-1,8.64,8.64,100.0,1,2.4072035524148956
0,191,-1,51.84,51.84,100.0,3,10.216498656338702
0,192,-1,448.2,441.28,98.46,31,94.9291774935399
0,193,-1,484.56,476.24,98.28,31,108.34419806692577
0,194,-1,415.72,411.21,98.92,26,91.19224983420072
0,195,-1,343.44,338.6,98.59,21,74.92896625606505
0,196,-1,402.62,402.62,100.0,26,86.89265836310018
0,197,-1,46.8,46.8,100.0,3,12.428262028871579
0,198,-1,483.48,478.07,98.88,30,115.8186765661359
0,199,-1,358.08,342.51,95.65,25,85.12996612911432
0,200,-1,440.76,440.76,100.0,32,103.9393379819848
0,201,-1,316.66,316.66,100.0,22,72.98816406026268
0,202,-1,395.42,395.42,100.0,27,90.63692066448066
0,203,-1,456.26,443.87,97.28,26,105.82849198329953
0,204,-1,461.58,461.58,100.0,31,109.39080859349927
0,205,-1,508.32,508.32,100.0,33,108.64907181832977
0,206,-1,495.16,485.06,97.96,36,120.86613541665855
0,207,-1,499.2,499.2,100.0,34,116.3849534303166
0,208,-1,21.6,21.6,100.0,2,6.66942829041005
0,209,-1,43.2,43.2,100.0,3,11.206318855622609
0,210,-1,450.98,431.87,95.76,28,110.25263815331691
0,211,-1,499.08,485.39,97.26,36,108.78545278260538
0,212,-1,429.6,427.05,99.41,29,80.65821825503048
0,213,-1,479.16,479.16,100.0,31,104.94423230774602
0,214,-1,356.26,356.26,100.0,25,75.28649916105408
0,215,-1,21.6,21.6,100.0,1,3.8417695809946233
0,216,-1,36.0,36.0,100.0,3,8.886010332541623
0,217,-1,544.7,544.7,100.0,32,112.17238704084573
0,218,-1,427.06,400.06,93.68,29,84.5714078693404
0,219,-1,504.36,490.53,97.26,34,94.3297938163233
0,220,-1,608.26,594.22,97.69,37,132.60230621268414
0,221,-1,440.28,440.28,100.0,28,106.8914084333726
0,222,-1,7.2,7.2,100.0,1,1.6501349753078396
0,223,-1,432.22,432.22,100.0,32,98.1732142386275
