,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,1,-1,20.16,20.16,100.0,2,4.313192398649133
0,2,-1,6.5,6.5,100.0,3,1.3115379524844943
0,3,-1,219.6,219.6,100.0,15,55.351337402552346
0,4,-1,279.44,279.44,100.0,18,65.95480200343768
0,5,-1,183.38,183.38,100.0,12,48.48775181521652
0,6,-1,281.45,249.06,88.49,16,68.73154182324322
0,7,-1,235.8,235.8,100.0,14,62.23205891834821
0,8,-1,267.84,258.84,96.64,16,61.66084248686609
0,9,-1,228.96,228.96,100.0,15,59.26000097677137
0,10,-1,236.74,236.74,100.0,17,63.40256372626721
0,11,-1,259.1,259.1,100.0,17,75.33703250910233
0,12,-1,283.46,283.46,100.0,18,73.26631952926509
0,13,-1,28.2,28.2,100.0,3,8.365847791737773
0,14,-1,75.6,75.6,100.0,4,20.652022095006647
0,15,-1,7.2,7.2,100.0,1,0.9385860092140992
0,16,-1,338.26,331.83,98.1,18,67.98541554835931
0,17,-1,193.68,193.68,100.0,13,41.404420262764376
0,18,-1,185.47,185.47,100.0,14,39.93326854702077
0,19,-1,227.88,227.88,100.0,14,59.47346882776988
0,20,-1,28.63,28.63,100.0,3,8.393686317521286
0,21,-1,54.0,54.0,100.0,3,13.146595963601458
0,22,-1,224.78,216.68,96.4,15,55.2274938509713
0,23,-1,385.06,368.47,95.69,21,73.43178620215038
0,24,-1,175.68,175.68,100.0,11,42.11195140646686
0,25,-1,168.98,168.98,100.0,11,39.5372171298157
0,26,-1,253.08,250.64,99.04,18,66.28936701774039
0,27,-1,3.05,3.05,100.0,1,0.7286016936325005
0,28,-1,302.66,294.4,97.27,20,75.92398997307029
0,29,-1,298.08,297.85,99.92,21,70.04641685516638
0,30,-1,254.52,254.52,100.0,18,65.9016079792284
0,31,-1,216.58,216.58,100.0,17,63.527959932491015
0,32,-1,333.72,313.35,93.9,18,77.15849442506679
0,33,-1,27.17,27.17,100.0,3,7.300942325682571
0,34,-1,273.6,273.6,100.0,17,58.59864518104523
0,35,-1,250.92,250.92,100.0,17,56.412283581455206
0,36,-1,287.5,287.38,99.96,18,64.84853774042631
0,37,-1,221.88,221.88,100.0,15,51.13629456548993
0,38,-1,210.6,210.48,99.94,15,52.84265521041852
0,39,-1,2.59,2.59,100.0,2,0.5720893784073187
0,40,-1,41.76,41.76,100.0,2,9.52335727640894
0,41,-1,348.34,340.26,97.68,21,77.82861799793359
0,42,-1,291.24,291.24,100.0,16,52.76172953011581
0,43,-1,209.3,206.96,98.88,17,40.97361978454101
0,44,-1,250.06,249.41,99.74,16,47.59607301440794
0,45,-1,33.84,33.84,100.0,2,8.438678987535788
0,46,-1,59.04,59.04,100.0,4,11.013434792929296
0,47,-1,222.12,222.12,100.0,16,46.92378957991925
0,48,-1,387.22,365.24,94.32,26,74.35088962942523
0,49,-1,361.8,351.87,97.26,26,73.57168505636727
0,50,-1,273.6,273.6,100.0,17,53.89566046028423
0,51,-1,355.32,353.67,99.54,26,65.62407042247568
0,52,-1,38.98,38.98,100.0,4,9.737885383699012
0,53,-1,34.2,34.2,100.0,1,9.839869172541242
0,54,-1,244.56,243.22,99.45,19,43.64644098990743
0,55,-1,287.14,287.02,99.96,20,55.768376221769074
0,56,-1,270.72,266.93,98.6,17,52.68666378965161
0,57,-1,264.0,259.32,98.23,19,38.708589457514705
0,58,-1,270.72,270.72,100.0,18,50.75722278649944
0,59,-1,51.7,51.7,100.0,6,13.235132678387629
0,60,-1,33.84,33.84,100.0,3,10.683772626612898
0,61,-1,249.12,248.01,99.55,18,64.65200529525492
0,62,-1,254.52,248.97,97.82,19,52.909294000567066
0,63,-1,274.46,271.69,98.99,18,60.68739476913575
0,64,-1,270.84,270.84,100.0,18,46.86852028212723
0,65,-1,274.46,273.96,99.82,19,66.88308113520229
0,66,-1,51.0,51.0,100.0,5,8.406617098562453
0,67,-1,311.73,294.97,94.62,19,53.077775249144956
0,68,-1,358.56,340.47,94.95,25,77.64104266641434
0,69,-1,299.16,294.41,98.41,19,74.03002607795588
0,70,-1,254.64,252.89,99.31,18,62.433706725106894
0,71,-1,346.32,346.09,99.93,22,48.434033701186856
0,72,-1,68.4,68.4,100.0,6,12.724477323634066
0,73,-1,44.64,44.64,100.0,4,10.736686096750587
0,74,-1,217.22,217.22,100.0,18,46.45457278200751
0,75,-1,385.56,379.49,98.43,23,86.1197775669994
0,76,-1,275.4,266.13,96.63,20,67.28196612592683
0,77,-1,247.08,247.08,100.0,16,61.745408448299834
0,78,-1,256.54,256.54,100.0,20,48.19383130367765
0,79,-1,24.41,24.41,100.0,3,5.709581816812945
0,80,-1,57.6,57.6,100.0,3,12.68407764730067
0,81,-1,261.69,248.6,95.0,20,50.76803339967693
0,82,-1,363.53,361.26,99.38,27,73.42786762657848
0,83,-1,306.0,294.18,96.14,21,62.749427951013836
0,84,-1,349.32,328.64,94.08,23,69.088193357776
0,85,-1,229.32,229.32,100.0,17,48.85179706325683
0,86,-1,44.64,44.64,100.0,3,9.910757791783304
0,87,-1,8.64,8.64,100.0,1,2.335419849629472
0,88,-1,275.76,275.76,100.0,20,50.19406909833509
0,89,-1,277.78,277.78,100.0,20,54.29441762515409
0,90,-1,270.0,270.0,100.0,21,59.02169212174465
0,91,-1,304.68,299.27,98.22,18,53.12768831075141
0,92,-1,343.58,343.58,100.0,22,48.58982754596588
0,93,-1,21.6,21.6,100.0,2,5.948963796775555
0,94,-1,14.4,14.4,100.0,1,1.4436542611560839
0,95,-1,341.28,336.11,98.49,20,52.95505117839178
0,96,-1,318.24,305.15,95.89,18,44.84446818791684
0,97,-1,329.18,328.41,99.77,22,47.315109074962834
0,98,-1,322.82,309.74,95.95,21,42.73046325678913
0,99,-1,383.76,363.37,94.69,24,46.174163798576146
0,100,-1,50.16,50.16,100.0,6,9.011625552662101
0,101,-1,106.42,106.42,100.0,7,15.41786327232725
