,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,0,1,20.16,20.16,100.0,2,2.8387898237259193
0,1,1,6.5,6.5,100.0,3,1.385813765669657
0,2,1,219.6,107.81,49.09,15,22.218879767139956
0,3,1,279.44,97.85,35.02,18,19.401766589206467
0,4,1,183.38,183.38,100.0,12,41.64065307265119
0,5,1,281.45,104.68,37.19,16,23.899217501439395
0,6,1,235.8,69.17,29.33,14,17.57835949485567
0,7,1,267.84,112.43,41.98,16,25.40560182038162
0,8,1,228.96,117.49,51.31,15,23.152264407600104
0,9,1,236.74,83.82,35.41,17,16.26563918854929
0,10,1,259.1,89.26,34.45,17,19.60779168318835
0,11,1,283.46,58.15,20.51,18,14.305621262625838
0,12,1,28.2,28.2,100.0,3,8.877796267369927
0,13,1,75.6,75.6,100.0,4,21.19034443783245
0,14,1,7.2,7.2,100.0,1,1.292778438539622
0,15,1,338.26,250.04,73.92,18,42.01333501404609
0,16,1,193.68,171.33,88.46,13,37.39587909872476
0,17,1,185.47,185.47,100.0,14,33.04783577090184
0,18,1,227.88,227.88,100.0,14,48.89482841127718
0,19,1,28.63,28.63,100.0,3,7.907304705232778
0,20,1,54.0,54.0,100.0,3,12.791066528739846
0,21,1,224.78,107.73,47.93,15,22.949165665920987
0,22,1,385.06,92.94,24.14,21,20.565379819404004
0,23,1,175.68,175.68,100.0,11,36.39505570056393
0,24,1,168.98,168.98,100.0,11,39.89556513598641
0,25,1,253.08,253.08,100.0,18,50.478652292789846
0,26,1,3.05,3.05,100.0,1,0.744346116389347
0,27,1,302.66,60.77,20.08,20,15.282494130893241
0,28,1,298.08,33.66,11.29,21,7.591306223776442
0,29,1,254.52,93.46,36.72,18,17.295230471034486
0,30,1,216.58,61.25,28.28,17,12.220006477791607
0,31,1,333.72,83.78,25.1,18,20.48305591589158
0,32,1,27.17,27.17,100.0,3,8.275499869282045
0,33,1,273.6,273.6,100.0,17,48.97347534782566
0,34,1,250.92,199.24,79.4,17,37.3917943934649
0,35,1,287.5,147.12,51.17,18,28.0165277691921
0,36,1,221.88,160.64,72.4,15,31.530406137921066
0,37,1,210.6,104.59,49.66,15,21.264266942181226
0,38,1,2.59,2.59,100.0,2,0.4585056544668619
0,39,1,41.76,41.76,100.0,2,10.520644992107867
0,40,1,348.34,341.46,98.02,21,57.297819385754735
0,41,1,291.24,152.12,52.23,16,31.92930457135665
0,42,1,209.3,209.3,100.0,17,38.70006440680778
0,43,1,250.06,249.41,99.74,16,40.41281115040245
0,44,1,33.84,33.84,100.0,2,7.022941202745423
0,45,1,59.04,59.04,100.0,4,13.604616134845323
0,46,1,222.12,222.12,100.0,16,40.42759668236508
0,47,1,387.22,231.15,59.69,26,30.169486612426738
0,48,1,361.8,123.87,34.24,26,20.4825008618562
0,49,1,273.6,147.4,53.87,17,24.090155247731477
0,50,1,355.32,210.26,59.17,26,28.993209370631696
0,51,1,38.98,38.98,100.0,4,8.851242119705597
0,52,1,34.2,34.2,100.0,1,10.373042272274871
0,53,1,244.56,181.89,74.37,19,32.97671937556845
0,54,1,287.14,287.14,100.0,20,43.57098683556037
0,55,1,270.72,197.59,72.99,17,34.538765876614555
0,56,1,264.0,263.35,99.75,19,44.80046949487811
0,57,1,270.72,270.72,100.0,18,41.91445129581816
0,58,1,51.7,51.7,100.0,6,12.0002829461454
0,59,1,33.84,33.84,100.0,3,10.87370808838674
0,60,1,249.12,183.64,73.72,18,33.74946384464749
0,61,1,254.52,66.66,26.19,19,15.280238981300263
0,62,1,274.46,163.8,59.68,18,28.284686965382775
0,63,1,270.84,209.23,77.25,18,35.2911923329714
0,64,1,274.46,259.39,94.51,19,43.02035172936209
0,65,1,51.0,51.0,100.0,5,12.269195482852568
0,66,1,311.73,299.2,95.98,19,46.46998942119216
0,67,1,358.56,241.35,67.31,25,36.1198601085836
0,68,1,299.16,130.43,43.6,19,25.80285050001695
0,69,1,254.64,73.44,28.84,18,16.195754033357485
0,70,1,346.32,118.18,34.12,22,21.74734234088791
0,71,1,68.4,68.4,100.0,6,12.127221602508838
0,72,1,44.64,44.64,100.0,4,6.017551933240207
0,73,1,217.22,108.53,49.96,18,22.19525354801645
0,74,1,385.56,230.79,59.86,23,33.43675051007376
0,75,1,275.4,94.84,34.44,20,19.015708311638875
0,76,1,247.08,88.99,36.02,16,19.600477146300666
0,77,1,256.54,70.89,27.63,20,13.893266569338374
0,78,1,24.41,24.41,100.0,3,6.367607196437388
0,79,1,57.6,57.6,100.0,3,11.588271282211018
0,80,1,261.69,202.69,77.45,20,36.69866089549321
0,81,1,363.53,241.13,66.33,27,34.93028587754714
0,82,1,306.0,152.35,49.79,21,23.28741108695309
0,83,1,349.32,139.81,40.02,23,23.652803065743974
0,84,1,229.32,204.34,89.11,17,38.77071905386386
0,85,1,44.64,44.64,100.0,3,9.677800769627593
0,86,1,8.64,8.64,100.0,1,2.840381876548641
0,87,1,275.76,275.76,100.0,20,41.516644596435334
0,88,1,277.78,212.47,76.49,20,32.378546331175215
0,89,1,270.0,172.26,63.8,21,24.68972888066543
0,90,1,304.68,167.53,54.99,18,30.786085831848165
0,91,1,343.58,235.06,68.41,22,33.97133484442648
0,92,1,21.6,21.6,100.0,2,6.026248276685503
0,93,1,14.4,14.4,100.0,1,1.561535127628803
0,94,1,341.28,336.58,98.62,20,42.72973582945176
0,95,1,318.24,305.15,95.89,18,43.32091602078831
0,96,1,329.18,329.18,100.0,22,46.560231900932585
0,97,1,322.82,311.1,96.37,21,41.65720167602283
0,98,1,383.76,376.68,98.16,24,48.269889678750175
0,99,1,50.16,50.16,100.0,6,8.77385931485142
0,100,1,106.42,106.42,100.0,7,14.622076595031398
0,101,1,420.48,322.59,76.72,31,39.84144739382541
0,102,1,356.76,354.32,99.32,27,47.16025572153078
0,103,1,335.92,335.92,100.0,26,45.88363920121877
0,104,1,431.14,289.62,67.18,32,37.44431385347109
0,105,1,273.24,273.24,100.0,17,44.4330637105605
0,106,1,28.8,28.8,100.0,2,6.244583294733688
0,107,1,28.8,28.8,100.0,1,2.2394719450429057
0,108,1,200.3,200.3,100.0,17,26.647511135010937
0,109,1,407.16,407.16,100.0,25,52.74585661882684
0,110,1,295.18,295.18,100.0,21,48.04904243631363
0,111,1,309.22,309.22,100.0,25,44.67958568725641
0,112,1,237.6,237.6,100.0,16,34.21580711976864
0,113,1,51.84,51.84,100.0,5,9.135057818880504
0,114,1,8.64,8.64,100.0,1,2.0939536732805006
0,115,1,338.57,327.33,96.68,23,56.67001064675517
0,116,1,378.22,373.53,98.76,27,38.872815277258816
0,117,1,444.1,397.77,89.57,29,53.31646798214033
0,118,1,304.92,267.15,87.61,24,40.165888747417135
0,119,1,393.84,259.34,65.85,26,39.128521900194905
0,120,1,263.3,263.3,100.0,20,26.020471176751226
0,121,1,450.72,435.33,96.59,28,32.41796593950461
0,122,1,354.96,354.96,100.0,24,46.36607182264286
