,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,0,1,20.16,20.16,100.0,2,2.838789823723448
0,1,1,6.5,6.5,100.0,3,1.3858137656717906
0,2,1,219.6,107.81,49.09,15,22.21887976042375
0,3,1,279.44,97.85,35.02,18,19.40176448541498
0,4,1,183.38,183.38,100.0,12,41.64065307266725
0,5,1,281.45,104.68,37.19,16,23.89922057470863
0,6,1,235.8,69.17,29.33,14,17.578358333181164
0,7,1,267.84,112.43,41.98,16,25.40559674872882
0,8,1,228.96,117.49,51.31,15,23.152261213862435
0,9,1,236.74,83.82,35.41,17,16.26563990775026
0,10,1,259.1,89.26,34.45,17,19.60778277117133
0,11,1,283.46,58.15,20.51,18,14.305612520156137
0,12,1,28.2,28.2,100.0,3,8.877796267372492
0,13,1,75.6,75.6,100.0,4,21.190344438113833
0,14,1,7.2,7.2,100.0,1,1.2927784385165408
0,15,1,338.26,247.61,73.2,18,41.49264774024662
0,16,1,193.68,171.33,88.46,13,37.39587893787466
0,17,1,185.47,185.47,100.0,14,33.04783577094862
0,18,1,227.88,227.88,100.0,14,48.894828411319416
0,19,1,28.63,28.63,100.0,3,7.90730470519188
0,20,1,54.0,54.0,100.0,3,12.79106652884021
0,21,1,224.78,107.73,47.93,15,22.94916472392295
0,22,1,385.06,92.94,24.14,21,20.565377188592333
0,23,1,175.68,175.68,100.0,11,36.395055700569834
0,24,1,168.98,168.98,100.0,11,39.89556513595153
0,25,1,253.08,246.55,97.42,18,49.0993574182925
0,26,1,3.05,3.05,100.0,1,0.7443461163839679
0,27,1,302.66,60.77,20.08,20,15.282508603219032
0,28,1,298.08,33.66,11.29,21,7.591309473198934
0,29,1,254.52,93.46,36.72,18,17.295230800173
0,30,1,216.58,61.25,28.28,17,12.220004250514739
0,31,1,333.72,83.78,25.1,18,20.483061076700093
0,32,1,27.17,27.17,100.0,3,8.275499869292952
0,33,1,273.6,273.6,100.0,17,48.97347534787389
0,34,1,250.92,198.98,79.3,17,37.342688129432666
0,35,1,287.5,147.12,51.17,18,28.016528636198025
0,36,1,221.88,160.64,72.4,15,31.53040530664829
0,37,1,210.6,104.59,49.66,15,21.26426695014348
0,38,1,2.59,2.59,100.0,2,0.45850565446637637
0,39,1,41.76,41.76,100.0,2,10.520644992151748
0,40,1,348.34,341.46,98.02,21,57.47453243532679
0,41,1,291.24,152.11,52.23,16,31.92851881672148
0,42,1,209.3,209.3,100.0,17,38.70006440681218
0,43,1,250.06,249.41,99.74,16,40.41281115046374
0,44,1,33.84,33.84,100.0,2,7.022941202760085
0,45,1,59.04,59.04,100.0,4,13.604616134851419
0,46,1,222.12,222.12,100.0,16,40.42759668242247
0,47,1,387.22,229.83,59.35,26,30.028280095690636
0,48,1,361.8,123.87,34.24,26,20.48250088650051
0,49,1,273.6,147.4,53.87,17,24.09015628746141
0,50,1,355.32,210.26,59.17,26,28.993208475093724
0,51,1,38.98,38.98,100.0,4,8.851242119705192
0,52,1,34.2,34.2,100.0,1,10.373042272727268
0,53,1,244.56,181.89,74.37,19,32.976718863641096
0,54,1,287.14,287.14,100.0,20,43.57098683565552
0,55,1,270.72,197.59,72.99,17,34.5387662333227
0,56,1,264.0,258.57,97.94,19,43.729963010164504
0,57,1,270.72,254.96,94.18,18,38.40235413550498
0,58,1,51.7,51.7,100.0,6,12.00028294613646
0,59,1,33.84,33.84,100.0,3,10.873708088347986
0,60,1,249.12,182.75,73.36,18,33.55804116956686
0,61,1,254.52,66.66,26.19,19,15.280244894820921
0,62,1,274.46,163.8,59.68,18,28.284686749834176
0,63,1,270.84,209.17,77.23,18,35.28137764995301
0,64,1,274.46,259.25,94.46,19,42.99245359652306
0,65,1,51.0,51.0,100.0,5,12.269195482853034
0,66,1,311.73,299.2,95.98,19,46.49034590824845
0,67,1,358.56,240.73,67.14,25,36.00550247229977
0,68,1,299.16,130.43,43.6,19,25.802850760365892
0,69,1,254.64,73.44,28.84,18,16.195754451116834
0,70,1,346.32,118.18,34.12,22,21.747340381994228
0,71,1,68.4,68.4,100.0,6,12.127221602516608
0,72,1,44.64,44.64,100.0,4,6.017551933241064
0,73,1,217.22,108.53,49.96,18,22.19525726113286
0,74,1,385.56,230.78,59.86,23,33.43605910702781
0,75,1,275.4,94.84,34.44,20,19.01571301202941
0,76,1,247.08,88.99,36.02,16,19.600486865603937
0,77,1,256.54,70.89,27.63,20,13.89326739234013
0,78,1,24.41,24.41,100.0,3,6.367607196446675
0,79,1,57.6,57.6,100.0,3,11.58827128213588
0,80,1,261.69,189.25,72.32,20,33.848136921028214
0,81,1,363.53,240.29,66.1,27,34.78001400049978
0,82,1,306.0,152.35,49.79,21,23.287410975183374
0,83,1,349.32,139.81,40.02,23,23.65280334310888
0,84,1,229.32,204.34,89.11,17,38.770718856479355
0,85,1,44.64,44.64,100.0,3,9.677800769625865
0,86,1,8.64,8.64,100.0,1,2.8403818765655138
0,87,1,275.76,275.76,100.0,20,41.5166445963621
0,88,1,277.78,212.47,76.49,20,32.37854540994689
0,89,1,270.0,172.26,63.8,21,24.68972754586678
0,90,1,304.68,167.53,54.99,18,30.786085923182704
0,91,1,343.58,233.51,67.96,22,33.67855364654372
0,92,1,21.6,21.6,100.0,2,6.026248276683404
0,93,1,14.4,14.4,100.0,1,1.5615351276379543
0,94,1,341.28,336.58,98.62,20,42.77365289762865
0,95,1,318.24,305.15,95.89,18,43.320916020846994
0,96,1,329.18,329.18,100.0,22,46.59156329615884
0,97,1,322.82,311.1,96.37,21,41.879670081127564
0,98,1,383.76,376.68,98.16,24,48.27101701307817
0,99,1,50.16,50.16,100.0,6,8.77385931485662
0,100,1,106.42,106.42,100.0,7,14.622076595032155
0,101,1,420.48,322.59,76.72,31,39.841443756742805
0,102,1,356.76,315.99,88.57,27,41.23682750586416
0,103,1,335.92,292.28,87.01,26,37.90071766730902
0,104,1,431.14,283.34,65.72,32,36.442323730223976
0,105,1,273.24,273.24,100.0,17,44.48119695852264
0,106,1,28.8,28.8,100.0,2,6.244583294783802
0,107,1,28.8,28.8,100.0,1,2.239471945040895
0,108,1,200.3,200.3,100.0,17,26.65169954844515
0,109,1,407.16,386.44,94.91,25,49.187795908489
0,110,1,295.18,293.98,99.59,21,47.81357172279053
