,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,1,1.5,20.16,20.16,100.0,2,3.376841898352444
0,2,1.5,6.5,6.5,100.0,3,1.4018028958945443
0,3,1.5,219.6,104.85,47.75,15,24.346317242348185
0,4,1.5,279.44,58.47,20.92,18,13.31278242177566
0,5,1.5,183.38,183.38,100.0,12,42.133293711482416
0,6,1.5,281.45,74.1,26.33,16,19.662453603651162
0,7,1.5,235.8,80.09,33.97,14,22.590111291745018
0,8,1.5,267.84,89.17,33.29,16,22.804570568430158
0,9,1.5,228.96,69.33,30.28,15,15.239111132389867
0,10,1.5,236.74,69.88,29.52,17,16.593020933391465
0,11,1.5,259.1,82.54,31.86,17,21.506826294693592
0,12,1.5,283.46,58.28,20.56,18,15.877310746845627
0,13,1.5,28.2,28.2,100.0,3,8.93729143346979
0,14,1.5,75.6,75.6,100.0,4,21.280268534806602
0,15,1.5,7.2,7.2,100.0,1,1.2937892773384896
0,16,1.5,338.26,123.62,36.55,18,22.149474281727457
0,17,1.5,193.68,96.87,50.02,13,22.250386205341968
0,18,1.5,185.47,98.72,53.23,14,19.0716488705216
0,19,1.5,227.88,95.3,41.82,14,20.797480360614752
0,20,1.5,28.63,28.63,100.0,3,7.985791850453117
0,21,1.5,54.0,54.0,100.0,3,12.800672533902794
0,22,1.5,224.78,61.81,27.5,15,13.60530610412407
0,23,1.5,385.06,49.07,12.74,21,11.768162035381797
0,24,1.5,175.68,175.68,100.0,11,37.34117034449079
0,25,1.5,168.98,168.98,100.0,11,40.91178007932942
0,26,1.5,253.08,61.87,24.45,18,13.682246036303313
0,27,1.5,3.05,3.05,100.0,1,0.7740493320952423
0,28,1.5,302.66,66.07,21.83,20,17.92877148454659
0,29,1.5,298.08,22.01,7.38,21,5.481706021357129
0,30,1.5,254.52,39.97,15.7,18,9.26801058927928
0,31,1.5,216.58,45.06,20.81,17,11.628531821557978
0,32,1.5,333.72,82.77,24.8,18,22.389653057384844
0,33,1.5,27.17,27.17,100.0,3,8.303919863305774
0,34,1.5,273.6,88.24,32.25,17,15.742037989741089
0,35,1.5,250.92,50.11,19.97,17,10.01115602732492
0,36,1.5,287.5,58.56,20.37,18,13.456600135264173
0,37,1.5,221.88,90.88,40.96,15,20.32310263849047
0,38,1.5,210.6,84.65,40.19,15,20.9958971456457
0,39,1.5,2.59,2.59,100.0,2,0.4961625773448808
0,40,1.5,41.76,41.76,100.0,2,10.766757095965932
0,41,1.5,348.34,70.0,20.1,21,11.618490508471627
0,42,1.5,291.24,78.73,27.03,16,19.12960530025905
0,43,1.5,209.3,66.96,31.99,17,13.875217572980253
0,44,1.5,250.06,92.89,37.15,16,15.314325442928096
0,45,1.5,33.84,33.84,100.0,2,7.245374980560763
0,46,1.5,59.04,59.04,100.0,4,13.709346447414616
0,47,1.5,222.12,43.64,19.65,16,8.319808845406097
0,48,1.5,387.22,44.36,11.46,26,6.559412974954797
0,49,1.5,361.8,35.77,9.89,26,8.816059155883218
0,50,1.5,273.6,64.77,23.67,17,12.613966674565793
0,51,1.5,355.32,18.79,5.29,26,3.51944416250667
0,52,1.5,38.98,38.98,100.0,4,8.919221193064105
0,53,1.5,34.2,34.2,100.0,1,10.412498215852926
0,54,1.5,244.56,61.99,25.35,19,13.21708534626905
0,55,1.5,287.14,50.79,17.69,20,7.342481817932844
0,56,1.5,270.72,61.57,22.74,17,12.741322824852235
0,57,1.5,264.0,57.08,21.62,19,10.22978281736813
0,58,1.5,270.72,37.25,13.76,18,5.9070088500173075
0,59,1.5,51.7,51.7,100.0,6,12.069983735897171
0,60,1.5,33.84,33.84,100.0,3,10.906166028774352
0,61,1.5,249.12,57.18,22.95,18,12.051595686255025
0,62,1.5,254.52,50.14,19.7,19,12.757043311704061
0,63,1.5,274.46,60.13,21.91,18,12.71478752931836
0,64,1.5,270.84,91.2,33.67,18,16.73262654922529
0,65,1.5,274.46,39.94,14.55,19,6.926037017197739
0,66,1.5,51.0,51.0,100.0,5,12.43285130111868
0,67,1.5,311.73,81.05,26.0,19,13.399005269440629
0,68,1.5,358.56,32.26,9.0,25,4.697956915186622
0,69,1.5,299.16,58.71,19.62,19,12.683778601535266
0,70,1.5,254.64,44.59,17.51,18,11.109435336331535
0,71,1.5,346.32,34.62,10.0,22,7.095589274252052
0,72,1.5,68.4,68.4,100.0,6,12.297809342530876
0,73,1.5,44.64,44.64,100.0,4,7.763049559489198
0,74,1.5,217.22,31.6,14.55,18,7.659326321776164
0,75,1.5,385.56,46.58,12.08,23,7.776140768959416
