,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,0,1,20.16,20.16,100.0,2,2.8387898237259193
0,1,1,6.5,6.5,100.0,3,1.385813765669657
0,2,1,219.6,107.81,49.09,15,22.218879767139956
0,3,1,279.44,97.85,35.02,18,19.401766589206467
0,4,1,183.38,183.38,100.0,12,41.64065307265119
0,5,1,281.45,104.68,37.19,16,23.899217501439395
0,6,1,235.8,69.17,29.33,14,17.57835949485567
0,7,1,267.84,112.43,41.98,16,25.40560182038162
0,8,1,228.96,117.49,51.31,15,23.152264407600104
0,9,1,236.74,83.82,35.41,17,16.26563918854929
0,10,1,259.1,89.26,34.45,17,19.60779168318835
0,11,1,283.46,58.15,20.51,18,14.305621262625838
0,12,1,28.2,28.2,100.0,3,8.877796267369927
0,13,1,75.6,75.6,100.0,4,21.19034443783245
0,14,1,7.2,7.2,100.0,1,1.292778438539622
0,15,1,338.26,250.04,73.92,18,42.01333501404609
0,16,1,193.68,171.33,88.46,13,37.39587909872476
0,17,1,185.47,185.47,100.0,14,33.04783577090184
0,18,1,227.88,227.88,100.0,14,48.89482841127718
0,19,1,28.63,28.63,100.0,3,7.907304705232778
0,0,2,20.16,20.16,100.0,2,2.838789823730577
0,1,2,6.5,6.5,100.0,3,1.385813765673329
0,2,2,219.6,219.6,100.0,15,52.80044652892002
0,3,2,279.44,279.44,100.0,18,64.50975087743451
0,4,2,183.38,183.38,100.0,12,41.64065307269292
0,5,2,281.45,249.06,88.49,16,62.72301689078377
0,6,2,235.8,235.8,100.0,14,65.06268911426537
0,7,2,267.84,258.84,96.64,16,64.12673069233685
0,8,2,228.96,228.96,100.0,15,52.50461502713668
0,9,2,236.74,236.74,100.0,17,56.97258033561733
0,10,2,259.1,259.1,100.0,17,67.61758964129281
0,11,2,283.46,283.46,100.0,18,78.47730163115239
0,12,2,28.2,28.2,100.0,3,8.877796267414244
0,13,2,75.6,75.6,100.0,4,21.190344437867058
0,14,2,7.2,7.2,100.0,1,1.2927784385161452
0,15,2,338.26,331.83,98.1,18,61.48784615451998
0,16,2,193.68,193.68,100.0,13,43.285108946133434
0,17,2,185.47,185.47,100.0,14,33.04783577080897
0,18,2,227.88,227.88,100.0,14,48.89482841128173
0,19,2,28.63,28.63,100.0,3,7.907304705215938
0,0,3,20.16,20.16,100.0,2,2.8387898237307336
0,1,3,6.5,6.5,100.0,3,1.3858137656728273
0,2,3,219.6,219.6,100.0,15,52.800446528941336
0,3,3,279.44,279.44,100.0,18,64.50975087742299
0,4,3,183.38,183.38,100.0,12,41.6406530726976
0,5,3,281.45,249.06,88.49,16,62.72301689077989
0,6,3,235.8,235.8,100.0,14,65.06268911429883
0,7,3,267.84,258.84,96.64,16,64.12673069233688
0,8,3,228.96,228.96,100.0,15,52.50461502713658
0,9,3,236.74,236.74,100.0,17,56.97258033564597
0,10,3,259.1,259.1,100.0,17,67.61758964129142
0,11,3,283.46,283.46,100.0,18,78.47730163112458
0,12,3,28.2,28.2,100.0,3,8.877796267372409
0,13,3,75.6,75.6,100.0,4,21.190344437857803
0,14,3,7.2,7.2,100.0,1,1.2927784385431587
0,15,3,338.26,331.83,98.1,18,61.48784615454047
0,16,3,193.68,193.68,100.0,13,43.2851089461329
0,17,3,185.47,185.47,100.0,14,33.047835770805854
0,18,3,227.88,227.88,100.0,14,48.89482841128481
0,19,3,28.63,28.63,100.0,3,7.907304705229831
0,0,4,20.16,20.16,100.0,2,2.8387898237375166
0,1,4,6.5,6.5,100.0,3,1.3858137656728038
0,2,4,219.6,219.6,100.0,15,52.80044652895138
0,3,4,279.44,279.44,100.0,18,64.50975087743052
0,4,4,183.38,183.38,100.0,12,41.640653072702996
0,5,4,281.45,249.06,88.49,16,62.72301689077976
0,6,4,235.8,235.8,100.0,14,65.06268911425889
0,7,4,267.84,258.84,96.64,16,64.1267306923379
0,8,4,228.96,228.96,100.0,15,52.5046150271382
0,9,4,236.74,236.74,100.0,17,56.972580335644686
0,10,4,259.1,259.1,100.0,17,67.61758964129343
0,11,4,283.46,283.46,100.0,18,78.47730163112217
0,12,4,28.2,28.2,100.0,3,8.877796267380443
0,13,4,75.6,75.6,100.0,4,21.190344437834714
0,14,4,7.2,7.2,100.0,1,1.2927784385163594
0,15,4,338.26,331.83,98.1,18,61.48784615455136
0,16,4,193.68,193.68,100.0,13,43.28510894613463
0,17,4,185.47,185.47,100.0,14,33.0478357708117
0,18,4,227.88,227.88,100.0,14,48.89482841128295
0,19,4,28.63,28.63,100.0,3,7.907304705194255
0,0,5,20.16,20.16,100.0,2,2.83878982372686
0,1,5,6.5,6.5,100.0,3,1.3858137656727925
0,2,5,219.6,219.6,100.0,15,52.80044652893712
0,3,5,279.44,279.44,100.0,18,64.50975087743136
0,4,5,183.38,183.38,100.0,12,41.64065307269452
0,5,5,281.45,249.06,88.49,16,62.72301689079681
0,6,5,235.8,235.8,100.0,14,65.06268911425467
0,7,5,267.84,258.84,96.64,16,64.1267306923379
0,8,5,228.96,228.96,100.0,15,52.504615027134605
0,9,5,236.74,236.74,100.0,17,56.972580335652204
0,10,5,259.1,259.1,100.0,17,67.61758964129037
0,11,5,283.46,283.46,100.0,18,78.47730163111488
0,12,5,28.2,28.2,100.0,3,8.877796267376107
0,13,5,75.6,75.6,100.0,4,21.190344437885937
0,14,5,7.2,7.2,100.0,1,1.2927784385170928
0,15,5,338.26,331.83,98.1,18,61.487846154562035
0,16,5,193.68,193.68,100.0,13,43.28510894612961
0,17,5,185.47,185.47,100.0,14,33.047835770824314
0,18,5,227.88,227.88,100.0,14,48.89482841128707
0,19,5,28.63,28.63,100.0,3,7.907304705194129
0,0,6,20.16,20.16,100.0,2,2.8387898237270095
0,1,6,6.5,6.5,100.0,3,1.3858137656727316
0,2,6,219.6,219.6,100.0,15,52.8004465289468
0,3,6,279.44,279.44,100.0,18,64.50975087743114
0,4,6,183.38,183.38,100.0,12,41.64065307269557
0,5,6,281.45,249.06,88.49,16,62.72301689080928
0,6,6,235.8,235.8,100.0,14,65.06268911437085
0,7,6,267.84,258.84,96.64,16,64.12673069234945
0,8,6,228.96,228.96,100.0,15,52.50461502713622
0,9,6,236.74,236.74,100.0,17,56.97258033566778
0,10,6,259.1,259.1,100.0,17,67.61758964129122
0,11,6,283.46,283.46,100.0,18,78.47730163113644
0,12,6,28.2,28.2,100.0,3,8.877796267372917
0,13,6,75.6,75.6,100.0,4,21.19034443796378
0,14,6,7.2,7.2,100.0,1,1.292778438517745
0,15,6,338.26,331.83,98.1,18,61.48784615456296
0,16,6,193.68,193.68,100.0,13,43.28510894613528
0,17,6,185.47,185.47,100.0,14,33.04783577082643
0,18,6,227.88,227.88,100.0,14,48.894828411281445
0,19,6,28.63,28.63,100.0,3,7.907304705192987
0,0,7,20.16,20.16,100.0,2,2.8387898237296803
0,1,7,6.5,6.5,100.0,3,1.3858137656727134
