,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,2,2,20.16,20.16,100.0,2,4.261609490354784
0,16,2,7.2,7.2,100.0,1,0.9399855725038194
0,28,2,3.05,3.05,100.0,1,0.7252626802670213
0,40,2,2.59,2.59,100.0,2,0.5801849077185806
0,41,2,41.76,41.76,100.0,2,8.991891353014164
0,46,2,33.84,33.84,100.0,2,8.445462474079545
0,54,2,34.2,34.2,100.0,1,9.846572474313952
0,88,2,8.64,8.64,100.0,1,2.3313346312179064
0,94,2,21.6,21.6,100.0,2,5.946888645263853
0,95,2,14.4,14.4,100.0,1,1.4439673854297757
0,108,2,28.8,28.8,100.0,2,5.590329397763374
0,109,2,28.8,28.8,100.0,1,3.0026196252737956
0,116,2,8.64,8.64,100.0,1,2.126511065002548
0,128,2,15.84,15.84,100.0,2,2.9422668585888716
0,134,2,21.6,21.6,100.0,2,4.861092859372708
0,135,2,21.6,21.6,100.0,2,5.228735786167279
0,141,2,15.84,15.84,100.0,2,2.659267641126192
0,142,2,8.64,8.64,100.0,1,2.2473897931743037
0,160,2,21.6,21.6,100.0,2,5.695852890106001
0,167,2,29.66,29.66,100.0,2,7.9443247307813
0,168,2,8.64,8.64,100.0,1,2.6772170748437163
0,174,2,21.6,21.6,100.0,2,6.486332004968982
0,175,2,20.16,20.16,100.0,2,4.130421746958239
0,180,2,23.04,23.04,100.0,2,5.3545048129264385
0,181,2,8.64,8.64,100.0,1,2.7953039408618046
0,192,2,8.64,8.64,100.0,1,2.386717247386953
0,210,2,21.6,21.6,100.0,2,6.465385322102832
0,217,2,21.6,21.6,100.0,1,4.041677508452456
0,224,2,7.2,7.2,100.0,1,1.4613974352488734
0,230,2,11.16,11.16,100.0,2,2.757885191722927
0,235,2,21.6,21.6,100.0,2,6.286209862789119
0,236,2,21.6,21.6,100.0,2,6.037139530114866
0,242,2,14.4,14.4,100.0,1,3.1530890124352435
0,261,2,18.0,18.0,100.0,1,3.2658008905847655
0,262,2,43.2,43.2,100.0,2,4.7256893560206406
0,268,2,21.6,21.6,100.0,2,6.304027271378893
0,276,2,21.6,21.6,100.0,2,6.807749764723401
0,288,2,21.6,21.6,100.0,1,3.2271583178058196
0,289,2,21.6,21.6,100.0,1,3.3685724325733455
0,302,2,21.6,21.6,100.0,1,4.07985352588538
0,307,2,11.16,11.16,100.0,2,3.127315321598598
0,308,2,14.4,14.4,100.0,1,2.055607264333047
0,314,2,14.4,14.4,100.0,1,3.8781718564899506
0,321,2,39.6,39.6,100.0,2,9.462602809222492
0,322,2,5.98,5.98,100.0,1,1.2045257417458055
0,334,2,5.4,5.4,100.0,1,1.1729883617631125
0,335,2,5.4,5.4,100.0,1,1.191166280565744
0,336,2,5.4,5.4,100.0,1,1.1629077696684493
