,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,2,2,20.16,20.16,100.0,2,4.269290573950068
0,3,2,6.5,6.5,100.0,3,1.3202647880111207
0,4,2,219.6,106.12,48.32,15,25.627897345037358
0,5,2,279.44,115.2,41.23,18,28.31821863678461
0,6,2,183.38,82.5,44.99,12,21.12649390004272
0,7,2,281.45,110.62,39.3,16,31.620411620106562
0,8,2,235.8,93.3,39.57,14,23.569182539821735
0,9,2,267.84,90.0,33.6,16,20.678119397053724
0,10,2,228.96,119.58,52.23,15,31.593795564027268
0,11,2,236.74,107.7,45.49,17,28.686406987136042
0,12,2,259.1,111.45,43.01,17,32.55608364396358
0,13,2,283.46,115.2,40.64,18,31.08159507254381
0,14,2,28.2,28.2,100.0,3,8.373714077089284
0,15,2,75.6,61.58,81.46,4,16.283544774669185
0,16,2,7.2,7.2,100.0,1,0.9399855725038194
0,17,2,338.26,82.5,24.39,18,16.961162317266744
0,18,2,193.68,86.25,44.53,13,16.16773654231806
0,19,2,185.47,82.5,44.48,14,16.83186084262239
0,20,2,227.88,107.25,47.06,14,27.357200854110804
0,21,2,28.63,28.63,100.0,3,8.418049413193238
0,22,2,54.0,54.0,100.0,3,13.153256798212134
0,23,2,224.78,118.95,52.92,15,31.087752174834954
0,24,2,385.06,122.7,31.87,21,27.15953263982096
0,25,2,175.68,67.2,38.25,11,15.417250458570297
0,26,2,168.98,82.5,48.82,11,16.669227196475422
0,27,2,253.08,67.5,26.67,18,17.37264698078768
0,28,2,3.05,3.05,100.0,1,0.7252626802670213
0,29,2,302.66,93.75,30.98,20,23.413684483945083
0,30,2,298.08,126.45,42.42,21,30.736360751248267
0,31,2,254.52,111.45,43.79,18,27.84604312617661
0,32,2,216.58,122.1,56.38,17,34.37788235751885
0,33,2,333.72,97.44,29.2,18,24.64976599150018
0,34,2,27.17,27.17,100.0,3,7.306563350747698
0,35,2,273.6,85.95,31.41,17,17.536813906847474
0,36,2,250.92,99.0,39.45,17,22.140783983048337
0,37,2,287.5,86.25,30.0,18,18.26844535879667
0,38,2,221.88,83.12,37.46,15,17.00914040455152
0,39,2,210.6,83.97,39.87,15,19.50983410030907
0,40,2,2.59,2.59,100.0,2,0.5801849077185806
0,41,2,41.76,41.76,100.0,2,8.991891353014164
0,42,2,348.34,106.22,30.49,21,25.524862862451183
0,43,2,291.24,105.0,36.05,16,19.100588851010812
0,44,2,209.3,94.89,45.34,17,16.10369398087329
0,45,2,250.06,117.39,46.94,16,22.980443391086876
0,46,2,33.84,33.84,100.0,2,8.445462474079545
0,47,2,59.04,59.04,100.0,4,11.193012208097512
0,48,2,222.12,116.79,52.58,16,23.043046251923485
0,49,2,387.22,123.84,31.98,26,27.93092116803178
0,50,2,361.8,150.09,41.48,26,33.92708694189978
0,51,2,273.6,137.64,50.31,17,27.312008741838536
0,52,2,355.32,127.59,35.91,26,26.05877491975354
0,53,2,38.98,38.98,100.0,4,9.754522064916765
0,54,2,34.2,34.2,100.0,1,9.846572474313952
0,55,2,244.56,95.62,39.1,19,15.37070933198585
0,56,2,287.14,99.38,34.61,20,18.930043192963275
0,57,2,270.72,108.75,40.17,17,20.282752851977378
0,58,2,264.0,87.39,33.1,19,12.218326914411007
0,59,2,270.72,127.89,47.24,18,25.930620093150228
0,60,2,51.7,51.7,100.0,6,13.302038758824438
0,61,2,33.84,33.84,100.0,3,10.55097169969509
0,62,2,249.12,109.26,43.86,18,28.87335440635248
0,63,2,254.52,107.64,42.29,19,22.03614964836552
0,64,2,274.46,131.79,48.02,18,30.16268819151311
0,65,2,270.84,88.96,32.85,18,15.470066750915523
0,66,2,274.46,110.52,40.27,19,26.234169308813748
0,67,2,51.0,45.48,89.18,5,7.7161968011351
0,68,2,311.73,117.42,37.67,19,23.769590746641377
0,69,2,358.56,133.95,37.36,25,33.4622205681828
0,70,2,299.16,123.95,41.43,19,32.02508303995141
0,71,2,254.64,127.59,50.11,18,31.510263250193372
0,72,2,346.32,129.62,37.43,22,20.426161214439947
0,73,2,68.4,68.4,100.0,6,12.726356533701836
0,74,2,44.64,44.64,100.0,4,10.744351811127773
0,75,2,217.22,148.36,68.3,18,31.963476293733507
