,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,1,1.0,20.16,20.16,100.0,2,3.6346525608868814
0,2,1.0,6.5,6.5,100.0,3,1.269567157769246
0,3,1.0,219.6,217.5,99.04,15,53.71891698737117
0,4,1.0,279.44,279.44,100.0,18,63.84690276833454
0,5,1.0,183.38,183.38,100.0,12,47.67212885993882
0,6,1.0,281.45,249.06,88.49,16,66.2135598835385
0,7,1.0,235.8,227.86,96.63,14,58.159518647538135
0,8,1.0,267.84,258.84,96.64,16,58.4097628378927
0,9,1.0,228.96,228.96,100.0,15,54.90273568570873
0,10,1.0,236.74,236.74,100.0,17,60.05240606125457
0,11,1.0,259.1,244.64,94.42,17,70.09495747319147
0,12,1.0,283.46,283.46,100.0,18,71.89768471313955
0,13,1.0,28.2,28.2,100.0,3,8.34567577984465
0,14,1.0,75.6,75.6,100.0,4,20.568667992335982
0,15,1.0,7.2,7.2,100.0,1,0.9399855725038194
0,16,1.0,338.26,297.77,88.03,18,58.81678231876114
0,17,1.0,193.68,185.66,95.86,13,37.38942025323358
0,18,1.0,185.47,185.47,100.0,14,37.23698841479844
0,19,1.0,227.88,227.88,100.0,14,58.22447741254237
0,20,1.0,28.63,28.63,100.0,3,8.38361520505248
0,21,1.0,54.0,54.0,100.0,3,13.139890513199965
0,22,1.0,224.78,216.68,96.4,15,52.86863298336666
0,23,1.0,385.06,347.7,90.3,21,69.32244614426118
0,24,1.0,175.68,173.13,98.55,11,40.539548501443235
0,25,1.0,168.98,165.98,98.22,11,35.782082998766306
0,26,1.0,253.08,220.47,87.11,18,57.234234621732746
0,27,1.0,3.05,3.05,100.0,1,0.7247574624042172
0,28,1.0,302.66,259.25,85.66,20,64.04166112068316
0,29,1.0,298.08,285.86,95.9,21,63.35886143452945
0,30,1.0,254.52,251.52,98.82,18,61.270704142932765
0,31,1.0,216.58,216.58,100.0,17,60.60692740809626
0,32,1.0,333.72,247.44,74.15,18,59.5374708217931
0,33,1.0,27.17,27.17,100.0,3,7.291303218317256
0,34,1.0,273.6,255.99,93.56,17,51.252625748497856
0,35,1.0,250.92,250.92,100.0,17,52.269903614110376
0,36,1.0,287.5,258.34,89.86,18,53.75895632875472
0,37,1.0,221.88,207.72,93.62,15,44.54928975967529
0,38,1.0,210.6,185.34,88.01,15,43.51139701221693
0,39,1.0,2.59,2.59,100.0,2,0.5658211692703382
0,40,1.0,41.76,41.76,100.0,2,8.83910880837018
0,41,1.0,348.34,325.6,93.47,21,73.90941412012431
0,42,1.0,291.24,266.13,91.38,16,45.333693391345534
0,43,1.0,209.3,197.98,94.59,17,35.35885844970114
0,44,1.0,250.06,249.41,99.74,16,41.75104459498414
0,45,1.0,33.84,33.84,100.0,2,8.336243248435338
0,46,1.0,59.04,59.04,100.0,4,10.935795682666578
0,47,1.0,222.12,222.12,100.0,16,41.16124540161323
0,48,1.0,387.22,331.52,85.62,26,64.08575127012442
0,49,1.0,361.8,354.09,97.87,26,69.95756619957024
0,50,1.0,273.6,270.75,98.96,17,49.46056849583727
0,51,1.0,355.32,338.46,95.25,26,57.824642086000146
0,52,1.0,38.98,38.98,100.0,4,9.737780506603924
0,53,1.0,34.2,34.2,100.0,1,9.767381699989375
0,54,1.0,244.56,244.56,100.0,19,37.92081693946379
0,55,1.0,287.14,284.06,98.93,20,50.10212429052008
0,56,1.0,270.72,264.05,97.54,17,47.676492128869114
0,57,1.0,264.0,249.92,94.67,19,32.35747475946129
0,58,1.0,270.72,242.08,89.42,18,45.35524062645661
0,59,1.0,51.7,51.7,100.0,6,13.181308598096035
0,60,1.0,33.84,33.84,100.0,3,10.540707807707058
0,61,1.0,249.12,248.12,99.6,18,62.46550977330794
0,62,1.0,254.52,218.31,85.77,19,44.10378495720633
0,63,1.0,274.46,274.46,100.0,18,55.113490827406395
0,64,1.0,270.84,243.03,89.73,18,39.902675166145826
0,65,1.0,274.46,274.46,100.0,19,62.429553850504334
0,66,1.0,51.0,51.0,100.0,5,8.224976347657632
0,67,1.0,311.73,291.18,93.41,19,49.350898015138576
0,68,1.0,358.56,332.25,92.66,25,74.90193881599434
0,69,1.0,299.16,287.85,96.22,19,70.2292788971792
0,70,1.0,254.64,244.74,96.11,18,57.58669814508872
0,71,1.0,346.32,321.96,92.97,22,42.172641617448186
0,72,1.0,68.4,68.4,100.0,6,10.52317574370973
0,73,1.0,44.64,44.64,100.0,4,10.668677893827796
0,74,1.0,217.22,217.22,100.0,18,41.2035927767597
0,75,1.0,385.56,311.21,80.72,23,68.84443251185228
0,76,1.0,275.4,234.1,85.0,20,56.092804320496036
0,77,1.0,247.08,225.72,91.36,16,54.13262713362703
0,78,1.0,256.54,256.54,100.0,20,44.24280018436386
0,79,1.0,24.41,24.41,100.0,3,5.70626868178786
0,80,1.0,57.6,57.6,100.0,3,12.540500927733707
0,81,1.0,261.69,245.07,93.65,20,45.0941732847654
0,82,1.0,363.53,317.42,87.32,27,62.62938955547442
0,83,1.0,306.0,292.98,95.75,21,60.16071152381022
0,84,1.0,349.32,282.45,80.86,23,55.70893579241943
0,85,1.0,229.32,226.32,98.69,17,41.88029000563412
0,86,1.0,44.64,44.64,100.0,3,9.774967471434495
0,87,1.0,8.64,8.64,100.0,1,2.2941443002775515
0,88,1.0,275.76,270.79,98.2,20,44.43495007839582
0,89,1.0,277.78,277.78,100.0,20,52.7403075027604
0,90,1.0,270.0,267.9,99.22,21,56.659761019312356
0,91,1.0,304.68,299.27,98.22,18,51.69447744325595
0,92,1.0,343.58,305.24,88.84,22,44.33242893516454
0,93,1.0,21.6,21.6,100.0,2,5.9431718042652575
0,94,1.0,14.4,14.4,100.0,1,1.4396963182607745
0,95,1.0,341.28,336.58,98.62,20,47.967055812505166
0,96,1.0,318.24,305.15,95.89,18,42.32982222897383
0,97,1.0,329.18,309.52,94.03,22,42.62072910103059
0,98,1.0,322.82,291.55,90.31,21,38.12526756410057
0,99,1.0,383.76,335.7,87.48,24,40.34753741501453
0,100,1.0,50.16,50.16,100.0,6,8.516286748939994
0,101,1.0,106.42,106.42,100.0,7,15.29262141498193
0,102,1.0,420.48,369.69,87.92,31,50.393799530265454
0,103,1.0,356.76,281.16,78.81,27,38.20919818293404
0,104,1.0,335.92,270.52,80.53,26,40.95522574443407
0,105,1.0,431.14,343.64,79.7,32,51.148304959450556
0,106,1.0,273.24,241.58,88.41,17,38.659433998216635
0,107,1.0,28.8,28.8,100.0,2,5.539589764494996
0,108,1.0,28.8,28.8,100.0,1,2.980781923682176
0,109,1.0,200.3,200.3,100.0,17,24.67969848771132
0,110,1.0,407.16,348.06,85.48,25,44.30889495933794
