,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,1,2,20.16,20.16,100.0,2,3.6346525608868814
0,2,2,6.5,6.5,100.0,3,1.269567157769246
0,3,2,219.6,191.55,87.23,15,46.78056080683205
0,4,2,279.44,254.3,91.0,18,57.881284840460125
0,5,2,183.38,179.63,97.96,12,46.45338363574296
0,6,2,281.45,245.31,87.16,16,66.42458418616597
0,7,2,235.8,201.62,85.5,14,50.4589460938081
0,8,2,267.84,220.86,82.46,16,49.130936141338424
0,9,2,228.96,228.96,100.0,15,55.08908474303642
0,10,2,236.74,231.66,97.85,17,58.58297489302576
0,11,2,259.1,214.64,82.84,17,61.51415958146227
0,12,2,283.46,249.08,87.87,18,63.52925856939367
0,13,2,28.2,28.2,100.0,3,8.34567577984465
0,14,2,75.6,75.6,100.0,4,20.568667992335982
0,15,2,7.2,7.2,100.0,1,0.9399855725038194
0,16,2,338.26,230.62,68.18,18,45.821780144461016
0,17,2,193.68,159.57,82.39,13,31.276943444333597
0,18,2,185.47,184.66,99.56,14,37.4132326763081
0,19,2,227.88,201.72,88.52,14,51.06440956791431
0,20,2,28.63,28.63,100.0,3,8.38361520505248
0,21,2,54.0,54.0,100.0,3,13.139890513199965
0,22,2,224.78,216.68,96.4,15,53.29802519002001
0,23,2,385.06,272.7,70.82,21,55.266498079388555
0,24,2,175.68,148.62,84.6,11,34.3336458928431
0,25,2,168.98,147.23,87.13,11,30.98178698965084
0,26,2,253.08,184.08,72.74,18,47.56975019360451
0,27,2,3.05,3.05,100.0,1,0.7247574624042172
0,28,2,302.66,224.03,74.02,20,54.80013123457056
0,29,2,298.08,262.05,87.91,21,57.7451892140563
0,30,2,254.52,218.54,85.86,18,52.74675926230591
0,31,2,216.58,202.03,93.28,17,56.28030378819041
0,32,2,333.72,198.69,59.54,18,48.13873728259167
0,33,2,27.17,27.17,100.0,3,7.291303218317256
0,34,2,273.6,216.57,79.16,17,42.826856665288716
0,35,2,250.92,242.91,96.81,17,50.87301711666609
0,36,2,287.5,228.34,79.42,18,46.406051985714164
0,37,2,221.88,177.72,80.1,15,37.110136028671526
0,38,2,210.6,155.34,73.76,15,36.11383020739901
0,39,2,2.59,2.59,100.0,2,0.5658211692703382
0,40,2,41.76,41.76,100.0,2,8.83910880837018
0,41,2,348.34,256.22,73.55,21,58.761893798395576
0,42,2,291.24,235.98,81.03,16,39.55264104400511
0,43,2,209.3,173.46,82.88,17,30.150404934174357
0,44,2,250.06,248.33,99.31,16,42.08783969148809
